Nom de l'offre touristique;Type d'offre;Type lieu de visite;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une vidéo;Widget tripadvisor;Equipements présents sur le site;Services proposés sur l'équipement de loisir;Point d'intérêt visible sans visite: oui / non;Thème du musée ou centre d'interprétation;Thème du musée ou centre d'interprétation;Type du parc ou jardin;Catégorie du parc ou jardin;Style architectural du parc ou jardin;Thème du parc et jardin;Catégorie du site ou monument;Style architectural du site ou monument;Thème du site et monument historique;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;Catégorie de la ville ou du village fleuri;Labels;Langues parlées à l'accueil;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Activité sur place;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des audio guides;Langues des panneaux d'information;Langues parlées;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif(s) de l'année en cours proposé(s);Mode(s) de paiement accepté(s);localisation;departement
LE BOURG DE SAINTE-PAZANNE;Site et monument historiques;Patrimoine culturel;;;;;44680;;SAINTE-PAZANNE;;44186;47.10354;-1.81016;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.10354,-1.81016;Loire-Atlantique
FONTAINE SAINT-MARTIN;Site et monument historiques;Patrimoine culturel;;;;;44360;;VIGNEUX-DE-BRETAGNE;;44217;47.3263154;-1.7369135;;;;;;;;;Facebook||https://www.facebook.com/vigneuxdebretagne;;;;;oui;;;;;;;;;Petit patrimoine;;;;;;;;;;;;;non;non;oui;;non;non;;;;oui;;oui;;;;;oui;;;47.3263154,-1.7369135;Loire-Atlantique
AUBIGNÉ SUR LAYON;Site et monument historiques;Patrimoine culturel;;;;;49540;;AUBIGNE-SUR-LAYON;;49012;47.211549;-0.4617829;;;;02 41 59 40 19;;;http://www.aubignesurlayon.com;;;;;"Aire de pique nique;Cafétéria / Restaurant";;;;;;;;;;;Pays - Ville - village et quartier;;;;4 fleurs;"Petites cités de caractère;Ville et village fleuris";;;;;;;;;;oui;;;;;;;oui;;;;;;;;;;47.211549,-0.4617829;Maine-et-Loire
LE COUDRAY-MACOUARD;Site et monument historiques;Patrimoine culturel;;;;;49260;;LE COUDRAY-MACOUARD;;49112;47.19501;-0.12016;;;;02 41 67 98 10;02 41 67 98 86;mairie-de-coudray-macouard@wanadoo.fr;http://www.lecoudraymacouard.fr/;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;3 fleurs;"Petites cités de caractère;Ville et village fleuris";;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.19501,-0.12016;Maine-et-Loire
COLLÉGIALE DU PUY-NOTRE-DAME;Site et monument historiques;Patrimoine culturel;;;;;49260;;LE PUY-NOTRE-DAME;;49253;47.125034;-0.235251;;;;02 41 52 26 34;;mairie.le.puy.notre.dame@wanadoo.fr;http://www.ville-lepuynotredame.fr;;;;;;;;;;;;;;;;Collégiale;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Sauf tenue d'offices religieux.||||09:30||||||18:30||09:30||||||18:30||09:30||||||18:30||09:30||||||18:30||09:30||||||18:30||09:30||||||18:30||09:30||||||18:30;;;;;;;47.125034,-0.235251;Maine-et-Loire
EGLISE SAINT GERMAIN - LOUVIGNY;Site et monument historiques;Patrimoine culturel;;;;;72600;;LOUVIGNY;;72170;48.33831;0.2027;;;;02 43 97 52 11;;;;;;;;;;;;;;;;;;Roman;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.33831,0.2027;Sarthe
EGLISE SAINT MALO - LES MÉES;Site et monument historiques;Patrimoine culturel;;;;;72260;;LES MEES;;72192;48.31495;0.23128;;;;02 43 97 54 27;;;;;;;;;;;;;;;;;;"Médiéval ; XIXe siècle";Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.31495,0.23128;Sarthe
ANCIEN LAVOIR DE CHEMIRÉ-SUR-SARTHE;Site et monument historiques;Patrimoine culturel;;;;;49640;;MORANNES SUR SARTHE-DAUMERAY;;49220;47.7485175;-0.4300615;;;;02 41 69 82 89;;tourismechateauneufsursarthe@wanadoo.fr;;;;;;Aire de pique nique;;oui;;;;;;;Non Classé;Contemporain;Petit patrimoine;;;;;;;;;;;;;;;oui;;;;;;;oui;Proposition clientèle||PCUPDL049V501KH3;oui;;;;;oui;;;47.7485175,-0.4300615;Maine-et-Loire
PONT DE CINQ PIERRES;Site et monument historiques;Patrimoine culturel;;;;;53370;;GESVRES;;53106;48.3767409;-0.1194767;;;;;;;;;;;;;;;;;;;;;Non Classé;;Petit patrimoine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3767409,-0.1194767;Mayenne
EGLISE DE LESBOIS - SAINT JULIEN;Site et monument historiques;Patrimoine culturel;;;;;53120;;LESBOIS;;53131;48.4414989;-0.8042907;;A l'abri;;02 43 08 67 42;;mairie.lesbois@wanadoo.fr;;;;;;;;;;;;;;;;;"Eglise;Petit patrimoine";non;;;;;;;;;;;;non;non;oui;non;non;non;;;;oui;;oui;;;;;oui;;;48.4414989,-0.8042907;Mayenne
ÉGLISE NOTRE DAME;Site et monument historiques;Patrimoine culturel;;;;BOURGNEUF-EN-MAUGES;49620;;MAUGES-SUR-LOIRE;;49244;47.3112922;-0.8351501;;;;;;;;;;;;;;;;;;;;;;;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3112922,-0.8351501;Maine-et-Loire
LES JARDINS DE LA HOUSSAYE;Parc et jardin;Patrimoine culturel;;;;La Houssaye - SAINT-LAURENT-DU-MOTTAY;;;MAUGES-SUR-LOIRE;;49244;47.34565;-0.95385;;;06 86 72 35 81;;;lesjardinsdelahoussaye@gmail.com;;;"Instagram||https://www.instagram.com/lesjardinsdelahoussaye/;Facebook||https://www.facebook.com/lesjardinsdelahoussaye/";;;;;;;;;;;"Jardin botanique;Jardin d'agrément";;;;;;;;;;;;;;;;;;;;oui;oui;;;Français;non;;non;;||06 86 72 35 81||;;;non;"Tarif indiv. adulte||10,00||10,00||;Tarif indiv. enfant||6,00||6,00||5-12ans";;47.34565,-0.95385;Maine-et-Loire
CHAPELLE DU TORTICOLIS;Site et monument historiques;Patrimoine culturel;;;;Les Hermandières;53600;;EVRON;;53097;48.1437961;-0.4471095;;;;02 43 01 62 46;;;;;;;;;;;;;;;;;;;"Chapelle;Petit patrimoine";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1437961,-0.4471095;Mayenne
CHÂTEAU DE MAGNANNE;Site et monument historiques;Patrimoine culturel;;;;Magnanne;53200;;MENIL;;53150;47.7653851;-0.6882863;;;06 79 39 45 13;;;;https://tinyurl.com/magnanne;;Facebook||https://www.facebook.com/Route-des-joyaux-de-la-mayenne-2850251885000418/;;;;;;;;;;;;Classé ou inscrit;Classique;Château;;;;;;;;;;;;;;;;;;;;;;;;oui;;M Pottier||06 79 39 45 13||;;;non;"Tarif indiv. adulte||0,00||30,00||Extérieurs : visite libre. Visite guidée privée 30€ / pers. (de 2 à 6 pers.);Gratuité||0,00||0,00||Visite libre des extérieurs.";;47.7653851,-0.6882863;Mayenne
TUK TUK;Site et monument historiques;Patrimoine culturel;;;11 RUE DE LA PLAGE (lieu de départ);;44740;;BATZ-SUR-MER;;44010;47.27651;-2.48073;;;;06 50 93 86 87;;jog.animations@gmail.com;https://www.tuktuk-aventure.com/circuit-batz-sur-mer/;;;;;;;;;;;;;;;;Eglise;oui;;;;;Anglais;;;;;45min;;;;;;oui;;;;;;;;01/07/2022||31/08/2022||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||;;;;;;"Cartes bancaires;Chèques Vacances;Espèces";47.27651,-2.48073;Loire-Atlantique
PARCOURS TEMPOREL ARTISTIQUE;Site et monument historiques;Patrimoine culturel;;;13 rue Pierre Jubau;;44560;;PAIMBOEUF;;44116;47.28802;-2.02874;;;;02 40 27 53 82;;13arts.asso@gmail.com;;;;;;;;;;Art moderne / contemporain;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;oui;;;;;;;oui;;;;;;;;;;47.28802,-2.02874;Loire-Atlantique
MYRIAGONE;;Patrimoine culturel;;;16 rue Bodinier;;49100;;ANGERS;;49007;47.47289;-0.55302;;;;09 81 78 28 02;;librairiemyriagone@gmail.com;http://librairiemyriagone.fr;;;;;;;;;;;;;;;;;;;;;;"Anglais;Espagnol;Français";;;;;;;;;;;;;;;;;;;"01/01/2019||31/12/2019||||||||||||||16:00||19:00||||||11:00||19:00||||||11:00||19:00||||||11:00||19:00||||||11:00||19:00||||||||||||;01/01/2020||31/12/2020||||||||||||||16:00||19:00||||||11:00||19:00||||||11:00||19:00||||||11:00||19:00||||||11:00||19:00||||||||||||";;;;;;"Cartes bancaires;Espèces";47.47289,-0.55302;Maine-et-Loire
MAISON DU PATRIMOINE DE PIRIAC-SUR-MER;Musée et centre d'interprétation;Patrimoine culturel;;;3 place Henri Vignioboul;;44420;;PIRIAC-SUR-MER;;44125;47.38053;-2.54584;;;06 08 23 05 57;02 40 15 59 71;;patrimoinepiriac@gmail.com;http://www.patrimoinepiriac.fr;;;;;;;;;;;;;;;;;;;;;Famille Plus;;;;;;;;;;;;;;;;;oui;;;"01/04/2022||30/06/2022||+ les jours fériés||||||||||||||||||||||||||||||||||||||||||||15:00||18:00||||||15:00||18:00||||;01/07/2022||30/08/2022||Les jeudis et vendredis de 10h30 à 12h30||||||||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||;01/07/2022||31/08/2022||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||10:30||12:30||15:00||19:00||10:30||12:30||15:00||19:00||15:00||19:00||||||15:00||19:00||||;01/09/2022||30/09/2022||||||14:30||18:00||||||14:30||18:00||||||14:30||18:00||||||14:30||18:00||||||14:30||18:00||||||14:30||18:00||||||14:30||18:00||||";;;;;;Espèces;47.38053,-2.54584;Loire-Atlantique
LA CITÉ DU FILM;Musée et centre d'interprétation;Patrimoine culturel;;;3, place des Ifs;;72000;;LE MANS;;72181;48.00158;0.20269;;;;06 67 06 19 81;;hello@lacitedufilm.fr;https://www.lacitedufilm.fr/;;;;;;;non;;"Nouvelles technologies et images;Photographie et cinéma";;;;;;;;;;;;;;;;;;1h;;;;;;;;;;;;;oui;;;;;;;;48.00158,0.20269;Sarthe
METRE A RUBAN - LILIAN BOURGEAT;Site et monument historiques;Patrimoine culturel;;;32 Rue Lanoue Bras de Fer;;44200;;NANTES;;44109;47.2068743;-1.5631267;;;;;;;http://www.levoyageanantes.fr/;;;;;;;;;;;;;;;;Installation contemporaine;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.2068743,-1.5631267;Loire-Atlantique
ÉGLISE DE LA SAINTE-TRINITÉ DE LA PAQUELAIS;Site et monument historiques;Patrimoine culturel;;;47 Rue Anne de Bretagne;;44360;;VIGNEUX-DE-BRETAGNE;;44217;47.33325;-1.69625;;;;;;;;;;;;;;;;;;;;;;;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.33325,-1.69625;Loire-Atlantique
LE THEATRE;Site et monument historiques;Patrimoine culturel;;;7 rue du Ballon;;44680;;SAINTE-PAZANNE;;44186;47.10072;-1.81275;;;;;;;;;;;;;;;;;;;;;;;Maison et bâtiment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.10072,-1.81275;Loire-Atlantique
EGLISE DE MESQUER;Site et monument historiques;Patrimoine culturel;;;Avenue de Bretagne;Bourg de Mesquer;44420;;MESQUER;;44097;47.39925;-2.45883;;;;02 40 42 51 15;;;;;;;;;;;;;;;;;;;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.39925,-2.45883;Loire-Atlantique
LA SOUCOUPE;Site et monument historiques;Patrimoine culturel;;;Avenue Léo Lagrange;;44600;;SAINT-NAZAIRE;;44184;47.2719235;-2.2327527;;;;;;;;;;;;;;oui;;;;;;;Classé ou inscrit;Moderne;Maison et bâtiment;;;;;Architecture contemporaine remarquable;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2719235,-2.2327527;Loire-Atlantique
VILLAGE DE BOULAY;Site et monument historiques;Patrimoine culturel;;;Boulay;;44350;;SAINT-MOLF;;44183;47.4041;-2.42637;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.4041,-2.42637;Loire-Atlantique
ETANG DES NOUES;;Patrimoine culturel;;;Chemin de la Grolerie;;49300;;CHOLET;;49099;47.0672;-0.8136;;;;;;;;;;;;Aire de pique nique;;;;;;;;;;;;oui;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;;47.0672,-0.8136;Maine-et-Loire
PARC DU HUTREAU;Parc et jardin;Patrimoine culturel;;;Chemin du Hutreau;;49130;;SAINTE-GEMMES-SUR-LOIRE;;49278;47.43383;-0.55748;;;;02 41 22 53 00;;;http://www.angers.fr/vivre-a-angers/la-nature-a-angers/les-parcs-et-jardins-publics/patrimoine/parcs-et-jardins/parc-du-hutreau/index.html;;Twitter||https://twitter.com/Angers_Jardins;;;;;;;;;;;Parc;;;;oui;;;;;;;;;;;;;;;;;;;;;oui;;;"01/11/2021||31/12/2021||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||;16/02/2022||27/03/2022||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||;28/03/2022||30/04/2022||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||;01/05/2022||15/09/2022||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||||07:30||20:00||||;16/09/2022||30/09/2022||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||||08:00||19:30||||;01/10/2022||30/10/2022||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||||08:00||19:00||||;31/10/2022||31/12/2022||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||||08:00||18:00||||";;;;oui;;;47.43383,-0.55748;Maine-et-Loire
LA CROIX VERTE;Site et monument historiques;Patrimoine culturel;;;D128;;44640;;CHEIX-EN-RETZ;;44039;47.18832;-1.82382;;;;;;;;;;;;;;;;;;;;;;;Calvaire et enclos paroissiaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.18832,-1.82382;Loire-Atlantique
LE VILLAGE DE ROUANS;Site et monument historiques;Patrimoine culturel;;;eglise;;44640;;ROUANS;;44145;47.18536;-1.85988;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.18536,-1.85988;Loire-Atlantique
MENHIR LA PIERRE DE GARGANTUA;;Patrimoine culturel;;;Impasse des Roseaux;;44250;;SAINT-BREVIN-LES-PINS;;44154;47.26298;-2.16246;;;;02 40 64 44 44;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;;;;;oui;;;;;;;oui;;;01/01/2017||31/12/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.26298,-2.16246;Loire-Atlantique
LES DOLMENS DE KERBOURG;Site et monument historiques;Patrimoine culturel;;;Kerbourg;La Masse;44410;;SAINT-LYPHARD;;44175;47.36316;-2.36176;;;;;;;;;;;;;;;;;;;;;;;Mégalithe;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.36316,-2.36176;Loire-Atlantique
VILLAGE DE KERVALET;Site et monument historiques;Patrimoine culturel;;;Kervalet;;44740;;BATZ-SUR-MER;;44010;47.28002;-2.46064;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.28002,-2.46064;Loire-Atlantique
LE CHÂTEAU DE L'ENNERIE;Site et monument historiques;Patrimoine culturel;;;L'Ennerie;;44680;;SAINTE-PAZANNE;;44186;47.08263;-1.82249;;;;;;;;;;;;;;;;;;;;;;;Château;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.08263,-1.82249;Loire-Atlantique
LE CHATEAU ET LA CHAPELLE DE LA BUDORIERE;Site et monument historiques;Patrimoine culturel;;;La Budorière;;44640;;ROUANS;;44145;47.17741;-1.89057;;;;;;;;;;;;;;;;;;;;;;;"Chapelle;Château";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.17741,-1.89057;Loire-Atlantique
MENHIR DES PIERRES BLANCHES;;Patrimoine culturel;;;La Chapronais;;44560;;CORSEPT;;44046;47.26908;-2.07472;;;;02 40 27 51 96;;mairiedecorsept@wanadoo.fr;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;;;;;oui;;;;;;;oui;;;01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.26908,-2.07472;Loire-Atlantique
MOULIN DE CAUSSAC;Site et monument historiques;Patrimoine culturel;;;La Gergauderie;;44130;;FAY-DE-BRETAGNE;;44056;47.404675;-1.7964769;;;;;;;;;;;;;;;;;;;;;;;Moulin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.404675,-1.7964769;Loire-Atlantique
LA CROIX MOREAU;Site et monument historiques;Patrimoine culturel;;;La Meule;Arthon-en-Retz;44320;;CHAUMES-EN-RETZ;;44005;47.1258;-1.94481;;;;;;;;;;;;;;;;;;;;;;;Calvaire et enclos paroissiaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1258,-1.94481;Loire-Atlantique
LE SOUTERRAIN DE LA ROCHE TROCANTE;Site et monument historiques;Patrimoine culturel;;;La Meule;Arthon-en-Retz;44320;;CHAUMES-EN-RETZ;;44005;47.12607;-1.94434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.12607,-1.94434;Loire-Atlantique
EXPOSITION LES VIEUX TRACTEURS D'ANTAN;Musée et centre d'interprétation;Patrimoine culturel;;;La Petite Jarias;;72110;;BONNETABLE;;72039;48.1901635;0.42135184;;A l'abri;;02 43 29 35 69;;;;https://youtu.be/e8xW4LKMgFo;;;;;;;Musée privé;Agriculture / monde rural;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;Français;oui;;;;;;;oui;;;48.1901635,0.42135184;Sarthe
LE CHATEAU DE LA VIGNAUDERIE;Site et monument historiques;Patrimoine culturel;;;La Vignauderie;;44640;;ROUANS;;44145;47.17157;-1.8537;;;;;;;;;;;;;;;;;;;;;;;Château;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.17157,-1.8537;Loire-Atlantique
FOUR A CHAUX DU PORT DE MONTRU;Site et monument historiques;Patrimoine culturel;;;Le Montru;;44330;;LA CHAPELLE-HEULIN;;44032;47.183766;-1.370584;;;;0240 06 74 05;;accueil@mairie-lachapelleheulin.fr;http://www.mairie-lachapelleheulin.fr/;;;;;;;oui;;;;;;;;;Ruines et vestiges;;;;;;;;;;;;;non;non;non;non;non;non;;;;non;;oui;;;;;oui;;;47.183766,-1.370584;Loire-Atlantique
MACHINERIE DES CHAMPS NEUFS;Musée et centre d'interprétation;Patrimoine culturel;;;Les Champs Neufs;;44320;;FROSSAY;;44061;47.23802;-1.87188;;;06 33 08 77 90;;;accam@canal-maritime-basse-loire.fr;http://www.canal-maritime-basse-loire.fr/;;;;;;;;;Maritime;;;;;;XIXe siècle;;;;;;;;;;;;;;oui;;;;oui;;;;;;;;04/04/2022||03/11/2022||||||||||||||||||||||||||||||||||||||||||||||14:30||17:30||||||14:30||17:30||||;;;;;;Espèces;47.23802,-1.87188;Loire-Atlantique
VILLAGE DE MATHEFLON;Site et monument historiques;Patrimoine culturel;;;Matheflon;;49140;;SEICHES-SUR-LE-LOIR;;49333;47.5873;-0.35764;;;;;;communication@seiches-sur-le-loir.fr;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;oui;oui;;;;;;;;;;;;;;;;;;;Français;oui;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.5873,-0.35764;Maine-et-Loire
LE PONT DE MESSAN;Site et monument historiques;Patrimoine culturel;;;Messan;;44640;;ROUANS;;44145;47.19433;-1.85416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.19433,-1.85416;Loire-Atlantique
