Nom de l'offre d'activité touristique;Type détaillé d'activité;Adresse partie 1: Porte/escalier;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de l'activité;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement géographique;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Services proposés sur l'équipement de loisir;Equipements présents sur le site de loisir;Animal accepté: oui / non;Complément information animal accepté;Labels;Label tourisme handicap;Groupe accepté: oui / non;Catégorie de la prestation fournie;Type formule itinérante;Activité sportive proposée;Type activité culturelle proposée;Langues parlées à l'accueil;Langues des audio guides;Visites libres proposées aux individuels en permanence: oui / non;Durée de visite pour les individuels;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des panneaux d'info;Langues parlées;Complément d'info sur les visites;Visites guidées proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Durée de visite pour les groupes;Lieux de pratique de l'activité de loisirs;Commune de départ de la formule itinérante;Commune d'arrivée de la formule itinérante;Ouverture de l'offre toute l'année: oui / non;Horaires d'ouvertures;ResaDirecte;Centrale de réservation en ligne: oui / non;Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale;Tarifs;Tarif gratuit : oui / non;Modes de paiement acceptés;localisation;Département
AIRE DE JEUX - AV PRESSIGNY;Jeux pour enfants;;;Boulevard de l'Océan;;44250;SAINT-BREVIN-LES-PINS;;44154;47.22207;-2.16745;;;;02 40 27 24 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.22207,-2.16745;Loire-Atlantique
AIRE DE JEUX - AVENUE DE BEAUVAL;Jeux pour enfants;;;Avenue de Beauval;;44250;SAINT-BREVIN-LES-PINS;;44154;47.25119;-2.16946;;;;02 40 27 24 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.25119,-2.16946;Loire-Atlantique
AIRE DE JEUX - LES SYLPHES;Jeux pour enfants;;;Avenue de Vila;;44250;SAINT-BREVIN-LES-PINS;;44154;47.25837;-2.16698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.25837,-2.16698;Loire-Atlantique
AIRE DE JEUX - ÉTANG DE LA SAVINAIS;Lac et étang de pêche;;;;;44390;PUCEUL;;44138;47.521447;-1.619607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.521447,-1.619607;Loire-Atlantique
AIRE DE JEUX DE CONGRIGOUX;Jeux pour enfants;;;Espace boisé de Congrigoux;avenue du Littoral;44380;PORNICHET;;44132;47.2438;-2.31583;;;;;;;;;;Aire de pique nique##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2438,-2.31583;Loire-Atlantique
AIRE DE JEUX DU CHÂTEAU;Jeux pour enfants;;;Place du Château;;44210;PORNIC;;44131;47.11341;-2.10611;;;;;;;;;Boutique;Bar##Parking##Restaurant##Toilettes;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.11341,-2.10611;
AIRE DE JEUX DU JARDIN DES LAKAS;Jeux pour enfants;;;Jardin des Lakas;Rue de Préfailles;44770;LA PLAINE-SUR-MER;;44126;47.1358;-2.19119;;;;02 40 21 50 14;;;http://www.laplainesurmer.fr/;;;Aire de pique nique##Parking##Toilettes;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1358,-2.19119;Loire-Atlantique
AIRE DE JEUX DU PARC DE VERDURE;Jeux pour enfants;;;Rue Eloi Guitteny;;44680;SAINT-HILAIRE-DE-CHALEONS;;44164;47.10473;-1.86842;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.10473,-1.86842;Loire-Atlantique
AIRE DE JEUX DU VAL SAINT MARTIN - PROXIMITÉ ACCROBRANCHE;Jeux pour enfants;;;Etang du Val Saint-Martin;;44210;PORNIC;;44131;47.12523;-2.09078;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.12523,-2.09078;Loire-Atlantique
AIRE DE JEUX LES CARRÉS;Jeux pour enfants;;;Promenade Wilson;;44760;LA BERNERIE-EN-RETZ;;44012;47.07725;-2.03647;;;;;;;;;;Toilettes;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.07725,-2.03647;Loire-Atlantique
AIRE DE JEUX SAINT-PÈRE-EN-RETZ;Jeux pour enfants;;;2 Rue de Paimboeuf;;44320;SAINT-PERE-EN-RETZ;;44187;47.20872;-2.04347;;;;02 40 21 70 29;;mairie-st-pere@wanadoo.fr;;;;;oui;Animaux admis;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.20872,-2.04347;Loire-Atlantique
AIRE DE JEUX SENNETIERE;Jeux pour enfants;;;Avenue des Magores;;44760;LA BERNERIE-EN-RETZ;;44012;47.07076;-2.0218;;;;;;;;;;Aire de pique nique##Parking##Toilettes;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.07076,-2.0218;Loire-Atlantique
AIRE DE LOISIRS SAINT PAUL;Aire de pique-nique##Jeux pour enfants;;;Rue du Lac;Plan d'eau;72130;SAINT-PAUL-LE-GAULTIER;;72309;48.3203096;-0.1090297;;;;;;;;;Espace jeux;Aire de pique nique##Toilettes;oui;;;;oui;;;;;Français;;oui;;non;non;;;;oui;non;non;non;;;;;oui;;;;;;oui;;48.3203096,-0.1090297;Sarthe
AIRE DE PIQUE NIQUE - COLOMBIERS-DU-PLESSIS;Aire de pique-nique;;;;LA GRAFFARDIERE;53120;COLOMBIERS-DU-PLESSIS;;53071;48.3938419;-0.8438834;Route (nationale/départ.)||D33||4,3##Gare SNCF||LAVAL||48##Autoroute||A84||41,2##Gare routière||FOUGERES||33;En extérieur ombragé##En extérieur soleil##A l'abri;;02 43 08 60 11;;mairie-colombiers@wanadoo.fr;http://www.colombiers-du-plessis.fr;;;Aire de pique nique;oui;;;;oui;;;;;;;non;;non;non;;;;non;non;non;non;;;;;oui;;;;;;oui;;48.3938419,-0.8438834;Mayenne
AIRE DE PIQUE NIQUE - SAINT-LOUP-DU-GAST;Aire de pique-nique;Centre bourg;;Site du Vélo-Rail;et/ou Site de la Monnerie;53300;SAINT-LOUP-DU-GAST;;53234;48.3864765;-0.5844064;Gare SNCF||LAVAL||40##Autoroute||LAVAL||35##Route (nationale/départ.)||NATIONALE 12||10##Gare routière||MAYENNE||10;En extérieur ombragé##En extérieur soleil;06 26 10 60 17;02 43 00 80 61;;mairie-de-st-loup-du-gast@wanadoo.fr;http://www.st-loup-du-gast.mairie53.fr/;;Espace jeux;Aire de pique nique##Toilettes;oui;;;;oui;;;;;;;non;;non;non;;;;non;non;non;non;;;;;oui;;;;;;oui;;48.3864765,-0.5844064;Mayenne
AIRE DE PIQUE NIQUE DE KERQUESSAUD;Aire de pique-nique;;;Impasse de Kerquessaud;;44117;SAINT-ANDRE-DES-EAUX;;44151;47.3169947;-2.3498196;Itinéraire de randonnée||Marais et Bocage||0##Itinéraire de randonnée||Terre Brière||0##Itinéraire de randonnée||Les Charmes de la Brière (vélo)||0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.3169947,-2.3498196;Loire-Atlantique
AIRE DE PIQUE NIQUE DE L'ÉGLISE;Aire de pique-nique;;;Place de l'église;Saint-Jean-des-Mauvrets;49610;LES GARENNES SUR LOIRE;;49167;47.3979248;-0.4504148;Route (nationale/départ.)||D 751||;;;;;;;;;Aire de pique nique;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3979248,-0.4504148;Maine-et-Loire
AIRE DE PIQUE NIQUE DE LA BASSE COTTENCIÈRE;Aire de pique-nique;;;La Basse Cottencière;Saint-Jean-des-Mauvrets;49610;LES GARENNES SUR LOIRE;;49167;47.3640584;-0.4753594;Route (nationale/départ.)||D 123||;;;;;;;;;Aire de pique nique;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3640584,-0.4753594;Maine-et-Loire
AIRE DE PIQUE NIQUE DE LA CABANE BAMBOU;Aire de pique-nique;La Touchetterie;;Chemin de la Cabane Bambou;Juigné-sur-Loire;49610;LES GARENNES SUR LOIRE;;49167;47.4127726;-0.4906144;Route (nationale/départ.)||D 132||;;;;;;;;;Aire de pique nique;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.4127726,-0.4906144;Maine-et-Loire
AIRE DE PIQUE NIQUE DE LA COUR DE LA MAIRIE - SAINT-SULPICE-SUR-LOIRE;Aire de pique-nique;Cour de la Mairie;;;Saint-Sulpice-sur-Loire;49320;BLAISON-SAINT-SULPICE;;49029;47.3990013;-0.417488;Route (nationale/départ.)||D132||;;;;;;;;Espace jeux;Aire de pique nique##Toilettes;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2018||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.3990013,-0.417488;Maine-et-Loire
AIRE DE PIQUE NIQUE DE LA GRAND'FOSSE;Aire de pique-nique##Boulodrome##Jeux pour enfants;;;;La Grand'Fosse - LE MESNIL-EN-VALLEE;49620;MAUGES-SUR-LOIRE;;49244;47.3786893;-0.9338444;;;;;;;;;Espace jeux;Aire de pique nique##Toilettes;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3786893,-0.9338444;Maine-et-Loire
AIRE DE PIQUE NIQUE DE LA PERRINE;Aire de pique-nique;Parking de la Perrine;;Chemin de la planche;Saulgé l'Hopital;49320;BRISSAC LOIRE AUBANCE;;49050;47.2981924;-0.3838853;;En extérieur ombragé;;;;;;;Espace jeux;Aire de pique nique##Toilettes;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2018||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.2981924,-0.3838853;Maine-et-Loire
AIRE DE PIQUE NIQUE DU BUDA;Aire de pique-nique;;;Le Buda;Saint-Rémy-la-Varenne;49320;BRISSAC LOIRE AUBANCE;;49050;47.3996984;-0.3196839;Route (nationale/départ.)||D 55||##Route (nationale/départ.)||D 132||;En extérieur ombragé;;;;;;;;Aire de pique nique;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3996984,-0.3196839;Maine-et-Loire
AIRE DE PIQUE NIQUE DU FOULON;Aire de pique-nique;;;Chemin du Foulon;TORFOU;49660;SEVREMOINE;;49301;47.0158253;-1.1071504;;;;02 41 46 63 09;;torfou@sevremoine.fr;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.0158253,-1.1071504;Maine-et-Loire
AIRE DE PIQUE NIQUE DU ROCHER D'ALMONT - JUIGNÉ-SUR-LOIRE;Aire de pique-nique;;;Almont;Juigné-sur-Loire;49610;LES GARENNES SUR LOIRE;;49167;47.4073376;-0.4923646;;;;;;;;;;Aire de pique nique;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2018||31/12/2034||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.4073376,-0.4923646;Maine-et-Loire
AIRE DE PIQUE NIQUE JARDIN PUBLIC SAINT ETIENNE DE MONTLUC;Aire de pique-nique;;;Rue du temple / ou place Foch;;44360;SAINT-ETIENNE-DE-MONTLUC;;44158;47.2824731;-1.7850788;;;;;;;www.estuairesillontourisme.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2824731,-1.7850788;Loire-Atlantique
AIRE DE PIQUE-NIQUE  LA BARAUDIÈRE;Aire de pique-nique;;;La Baraudière;;44240;SUCE-SUR-ERDRE;;44201;47.3506271;-1.5100825;;;;;;;;Facebook||https://www.facebook.com/Erdre-Canal-For%C3%AAt-223797384672032/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3506271,-1.5100825;Loire-Atlantique
AIRE DE PIQUE-NIQUE - AIRE DES GUÉRETS;Aire de pique-nique;;;;;49340;CHANTELOUP-LES-BOIS;;49070;47.08806;-0.68827;;;;;;;;;;Aire de pique nique;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.08806,-0.68827;Maine-et-Loire
AIRE DE PIQUE-NIQUE - NUEIL-SUR-LAYON;Aire de pique-nique;;;7 Rue de la Mairie;NUEIL-SUR-LAYON;49560;LYS-HAUT-LAYON;;49373;47.1172;-0.36612;;;;;;nueilsurlayon@lyshautlayon.fr;https://www.lyshautlayon.fr/fr/221/lys-haut-layon/nos-communes-deleguees/nueil-sur-layon.html;;;Aire de pique nique;oui;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.1172,-0.36612;Maine-et-Loire
AIRE DE PIQUE-NIQUE - PARC DEMARTIAL;Aire de pique-nique;;;Parc Demartial;Rue de la Forêt;49280;MAZIERES-EN-MAUGES;;49195;47.04618;-0.8161;;;;;;;;;;Aire de pique nique;oui;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.04618,-0.8161;Maine-et-Loire
AIRE DE PIQUE-NIQUE - PARC MAIRIE;Aire de pique-nique;;;Rue des Mauges;;49280;SAINT-LEGER-SOUS-CHOLET;;49299;47.09448;-0.91438;;;;;;;;;;Aire de pique nique;oui;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.09448,-0.91438;Maine-et-Loire
AIRE DE PIQUE-NIQUE - TANCOIGNÉ;Aire de pique-nique;;;Derrière l'Eglise;TANCOIGNE;49310;LYS-HAUT-LAYON;;49373;47.17554;-0.40929;;;;;;tancoigne@lyshautlayon.fr;https://www.lyshautlayon.fr/;;;Aire de pique nique##Toilettes;oui;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.17554,-0.40929;Maine-et-Loire
AIRE DE PIQUE-NIQUE AU BORD DU LAYON - SAINT AUBIN DE LUIGNÉ;Aire de pique-nique;;;;Rue Jean de Pontoise;49190;VAL-DU-LAYON;;49292;47.328345;-0.6756689;;;;02 41 78 33 28;;;;;Espace jeux;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.328345,-0.6756689;Maine-et-Loire
AIRE DE PIQUE-NIQUE CAMER 1;Aire de pique-nique;;;;;44410;LA CHAPELLE-DES-MARAIS;;44030;47.4325722;-2.2475673;Transport en commun||Ligne T3 - Arrêt le Gué de camer||0,19;;;;;;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.4325722,-2.2475673;Loire-Atlantique
AIRE DE PIQUE-NIQUE CAVEAU DE DÉGUSTATION;Aire de pique-nique;;;Route de Rochefort;;49290;CHALONNES-SUR-LOIRE;;49063;47.3506123;-0.756199;;;;;;;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3506123,-0.756199;Maine-et-Loire
AIRE DE PIQUE-NIQUE DE CHAMBELLAY SUR LE HALAGE DE LA MAYENNE;Aire d'arrêt Vélo##Aire de pique-nique;;;;;49220;CHAMBELLAY;;49064;47.6898364;-0.6804171;;;;;;;;;;Aire de pique nique##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.6898364,-0.6804171;Maine-et-Loire
AIRE DE PIQUE-NIQUE DE CORON;Aire de pique-nique##Jeux pour enfants;;;;;49690;CORON;;49109;47.13363;-0.64851;;En extérieur ombragé##A l'abri;;;;;;;;Aire de pique nique##Toilettes;oui;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.13363,-0.64851;Maine-et-Loire
AIRE DE PIQUE-NIQUE DE L'ARBORETUM;Aire de pique-nique;;Parking de l'arboretum;;;44130;LE GAVRE;;44062;47.5368585;-1.7784271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;oui;;47.5368585,-1.7784271;Loire-Atlantique
AIRE DE PIQUE-NIQUE DE LONCE;Aire de pique-nique;;;;;44550;MONTOIR-DE-BRETAGNE;;44103;47.32781;-2.15339;Transport en commun||Ligne T4 - Arrêt Loncé||0,6##Route (nationale/départ.)||Le long du Brivet||;;;;;;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.32781,-2.15339;Loire-Atlantique
AIRE DE PIQUE-NIQUE DE SAINT QUENTIN EN MAUGES;Aire de pique-nique##Jeux pour enfants;;;Rue du Docteur Bosson;SAINT-QUENTIN-EN-MAUGES;49110;MONTREVAULT-SUR-EVRE;;49218;47.291345;-0.91496;;;;02 41 30 02 65;;mairie.stquentinenmauges@montrevaultsurevre.fr;;;Espace jeux;Aire de pique nique##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.291345,-0.91496;Maine-et-Loire
AIRE DE PIQUE-NIQUE DES LAVANDIÈRES;Aire de pique-nique##Jeux pour enfants;;;Allée des Lavandières;VILLEDIEU LA BLOUERE;49450;BEAUPREAU-EN-MAUGES;;49023;47.1484556;-1.0574429;;;;;;vlb@beaupreauenmauges.fr;;;Espace jeux;Aire de pique nique##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.1484556,-1.0574429;Maine-et-Loire
AIRE DE PIQUE-NIQUE DES ONGLÉES;Aire de pique-nique;;;Les Onglées;BEAUPREAU;49600;BEAUPREAU-EN-MAUGES;;49023;47.2099779;-1.0254136;;;;02 41 71 76 60;;beaupreau@beaupreauenmauges.fr;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.2099779,-1.0254136;Maine-et-Loire
AIRE DE PIQUE-NIQUE DU MONTATAIS;Aire de pique-nique##Jeux pour enfants;;;Rue Philippe Gallet;JALLAIS;49510;BEAUPREAU-EN-MAUGES;;49023;47.1939416;-0.8686281;;;;02 41 64 20 60;;;;;Espace jeux;Aire de pique nique;oui;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.1939416,-0.8686281;Maine-et-Loire
AIRE DE PIQUE-NIQUE ET DE JEUX;Aire de pique-nique##Jeux pour enfants;;Zone du city park;;;44390;CASSON;;44027;47.3900096;-1.5577117;;;;;;;;;Espace jeux;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;oui;;47.3900096,-1.5577117;Loire-Atlantique
AIRE DE PIQUE-NIQUE GAGNERIE DE LESE MAYUN;Aire de pique-nique;;;Rue du Lisie;;44410;LA CHAPELLE-DES-MARAIS;;44030;47.4382442;-2.2620979;Transport en commun||Ligne T3 - Arrêt Mayun||0,75##Route (nationale/départ.)||Intersection D51 et rue du Lisie||;;;;;;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.4382442,-2.2620979;Loire-Atlantique
AIRE DE PIQUE-NIQUE LE CORNEAU;Aire de pique-nique;;;Le Corneau;LA BOISSIERE-SUR-EVRE;49110;MONTREVAULT-SUR-EVRE;;49218;47.299008;-1.069772;;;;02 41 30 02 65;;mairie.laboissieresurevre@montrevaultsurevre.fr;;;;Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.299008,-1.069772;Maine-et-Loire
