NOM_DE_LA_FeTE_OU_MANIFESTATION;CATeGORIE_DE_LA_FeTE_OU_MANIFESTATION;ADRESSE1;ADRESSE1SUITE;Adresse_partie2;Adresse_partie3;CODE_POSTAL;COMMUNE_DE_LA_FÃŠTE_OU_MANIFESTATION;BUREAU_DISTRIBUTEUR_ADRESSE_POSTALE;CEDEX;CODE_INSEE_DE_LA_COMMUNE;LATITUDE;LONGITUDE;POINT_ACCÃˆS_NOM_DISTANCE_EN_KM;N_TeLePHONE_FIXE;N_TeLePHONE_MOBILE;N_FAX;ADRESSE_EMAIL;URL_WEB;TYPE_DE_PLATEFORME_URL;URL_POUR_ACCeDER_Ã€_LA_VIDeO;PUBLIC_CONCERNe_PAR_OFFRE;WIDGET_TRIPADVISOR;CODE_EMBED_POUR_INTeGRER_UNE_VIDeO;PeRIODICITe_DE_LA_MANIFESTATION;PReCISION_SUR_LA_PeRIODICITe;LABEL_TOURISME_HANDICAP;DUReE_DE_VISITE_POUR_LES_INDIVIDUELS;VISITES_LIBRES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON2;DUReE_DE_VISITE_POUR_LES_GROUPES;VISITES_PeDAGOGIQUES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;LANGUES_PARLeES;LANGUES_DES_AUDIO_GUIDES;HORAIRES_OUVERTURES;TARIFS_ANNeE_EN_COURS_PROPOSeS;TARIF_GRATUIT;MOYENS_DE_ReSERVATION_DIRECTE;CENTRALE_DE_ReSERVATION_EN_LIGNE;MOYENS_DE_ReSERVATION_EN_LIGNE;MODES_DE_PAIEMENT_ACCEPTeS;LOCALISATION;DEPARTEMENT
AU PIED DU MUR, L'ENCEINTE ROMAINE DU MANS;Exposition;;Musée JC-Boulard - Carré Plantagenêt;2 Rue Claude Blondeau;;72000;LE MANS;;;72181;48.00717;0.19862;;02 43 47 46 45;;;musees@lemans.fr;www.lemans.fr/musees;Facebook||https://www.facebook.com/museesdumans,Instagram||https://www.instagram.com/museesdumans/,Twitter||https://twitter.com/musees_lemans?lang=fr;;;;;Ponctuel;;;;oui;;;;oui;;;;Français;;14/05/2022||08/01/2023||10:00||18:00||||;;oui;;;;;48.00717,0.19862;Sarthe
AUX PLUS ADULTES QUE NOUS;Théâtre;;;92 Avenue Jean Jaurès;;72500;MONTVAL-SUR-LOIR;;;72071;47.68871;0.41512;;02 43 79 47 97;;;lacastelorienne@montvalsurloir.fr;http://www.ville-chateauduloir.fr/;Facebook||https://www.facebook.com/chateauduloirmaville/;;;;;Ponctuel;;;;;;;;;;;;;;31/05/2022||31/05/2022||20:30||21:30||20:00||;Tarif indiv. adulte||12,00||||,Tarif indiv. réduit||8,00||||,Tarif indiv. enfant||6,00||||,Tarif abonné||8,00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.68871,0.41512;Sarthe
BALADES NAUTIQUES;Manifestation sportive;Base de Loisirs;;;;72400;LA FERTE-BERNARD;;;72132;48.1798881;0.64897179;;06 27 02 23 82;;;;;;;;;;;;;;;;;;;;;;;;04/08/2022||04/08/2022||17:00||||||;;;;;;;48.1798881,0.64897179;Sarthe
BALADES NAUTIQUES;Manifestation sportive;Base de loisirs;;;;72400;LA FERTE-BERNARD;;;72132;48.180346;0.64880013;;06 27 02 23 82;;;;;;;;;;;;;;;;;;;;;;;;11/08/2022||11/08/2022||17:00||||||;;;;;;;48.180346,0.64880013;Sarthe
BRIC A BRAC;Brocantes & vide-greniers;Terrain de la salle polyvalente;;;;72160;LA CHAPELLE-SAINT-REMY;;;72067;48.093372;0.466151;;02 43 93 46 12;;;;;;;;;;;;;;;;;;;;;;;;01/05/2022||01/05/2022||||||||;;;;;;;48.093372,0.466151;Sarthe
BRIC À BRAC;Brocantes & vide-greniers;Espace du Pont Romain;;;;72450;MONTFORT-LE-GESNOIS;;;72241;48.0482299;0.419952;;;;;es.montfort-le-gesnois@orange.fr;;;;;;;;;;;;;;;;;;;;;02/07/2022||03/07/2022||||||||;;;;;;;48.0482299,0.419952;Sarthe
CINÉMA;Cinéma;;;;Maison du temps libre;72430;FERCE-SUR-SARTHE;;;72131;47.9019358;-0.0308883;;;06 28 20 12 63;;calfercesursarthe@gmail.com;;Facebook||https://www.facebook.com/calferce/;;;;;Mensuel;;;;;;;;;;;;;;08/01/2022||08/01/2022||20:30||||Les bodin's en thaïlande||,26/03/2022||26/03/2022||20:30||||Presque||,23/04/2022||23/04/2022||20:30||||Maison de retraite||,21/05/2022||21/05/2022||20:30||||Alors on danse||;Tarif abonné||4,50||||,Tarif indiv. adulte||5,00||||;;;;;Chèques bancaires et postaux,Espèces;47.9019358,-0.0308883;Sarthe
CINÉMA;Cinéma;Quai des Arts;;;;72320;VIBRAYE;;;72373;48.0647461;0.72737015;;02 43 93 60 27;;;;;;;;;;;;;;;;;;;;;;;;11/07/2022||11/07/2022||20:30||||||;;;;;;Chèques bancaires et postaux,Espèces;48.0647461,0.72737015;Sarthe
CINÉMA DE PLEIN AIR;Cinéma;arrière du château;;;;72440;BOULOIRE;;;72042;47.973317;0.548873;;02 43 60 72 77;;;perche-sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;05/08/2022||05/08/2022||21:00||||||;;;Pays du Perche Sarthois||02 43 60 72 77||perche-sarthois@orange.fr;;;;47.973317,0.548873;Sarthe
CINÉMA EN PLEIN AIR;Cinéma;Terrain du lavoir;;;;72370;SOULITRE;;;72341;48.0122949;0.45574599;;07 88 09 26 90;;;acls.soulitre@gmail.com;;;;;;;;;;;;;;;;;;;;;18/06/2022||18/06/2022||22:00||||||;;;;;;;48.0122949,0.45574599;Sarthe
CLUEDO;Stages-Atelier-Jeux;Parc de la mairie;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.0771357;0.30195166;;02 43 27 50 28;;;;;;;;;;;;;;;;;;;;;;;;24/09/2022||24/09/2022||||||||;;;;;;;48.0771357,0.30195166;Sarthe
CONCERT : RECITAL BEETHOVEN;Concert;Quai des Arts;;;;72320;VIBRAYE;;;72373;48.0647605;0.72736479;;;;;;;;;;;;;;;;;;;;;;;;;;29/04/2022||29/04/2022||20:30||||||;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.0647605,0.72736479;Sarthe
CONCERT DE NOËL;Concert;;Eglise;;;72440;BOULOIRE;;;72042;47.9727972;0.5558806;;;06 74 75 50 33;;ccmcbouloire@gmail.com;;;;;;;;;;;;;;;;;;;;;15/12/2022||15/12/2022||20:00||||||;;;;;;;47.9727972,0.5558806;Sarthe
CONCERT TREMPLIN DE LA CHANSON;Concert;Centre Musical de Roussigny;;;;72320;SAINT-ULPHACE;;;72322;48.15882;0.81744;;06 59 29 34 27;;;;;;;;;;;;;;;;;;;;;;;;21/05/2022||21/05/2022||20:00||||||;;;;;;;48.15882,0.81744;Sarthe
CONCOURS DE PÊCHE;Manifestation sportive;Lac du Château du Luart;;;;72390;LE LUART;;;72172;48.068697;0.584284;;07 88 56 35 96;;;;;;;;;;;;;;;;;;;;;;;;07/05/2022||07/05/2022||||||||;;;;;;;48.068697,0.584284;Sarthe
CROC'LECTURE;Contes et lectures;;Médiathèque Sud;Boulevard Jean-Sébastien Bach;;72100;LE MANS;;;72181;47.97055;0.20925;;02 43 47 40 23;;;;;;;;;;;;;;;;;;;;;;;;17/05/2022||17/05/2022||17:00||||||;;oui;;;;;47.97055,0.20925;Sarthe
EXPOSITION DES PEINTURES D'EMILIE FOURÉ - DEUX EN UN;Exposition;Office de Tourisme Maine Saosnois;;50 Place Carnot;;72600;MAMERS;;;72180;48.3509267;0.36966599;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;;;04/07/2022||25/07/2022||||||||;;oui;;;;;48.3509267,0.36966599;Sarthe
EXPOSITION THÉO MASSOULIER;Exposition;Les Quinconces et L'Espal;Les Quinconces;4 Place des Jacobins;;72000;LE MANS;;;72181;48.0080743;0.2005444;;;;;;https://www.quinconces-espal.com/la-saison/arts-visuels/theo-massoulier_1;;;;;;;;;;;;;;;;;;;;12/02/2022||14/05/2022||18:30||||||;;oui;;;;;48.0080743,0.2005444;Sarthe
EXPOSITION VALERIE DAVAL;Exposition;Centre culturel La Laverie;;;;72400;LA FERTE-BERNARD;;;72132;48.1873791;0.64855892;;02 43 93 48 61;;;;;;;;;;;;;;;;;;;;;;;;02/06/2022||29/07/2022||||||||;;;;;;;48.1873791,0.64855892;Sarthe
EXPOSITION VIRGINIE BOUTANTIN À BONNÉTABLE - TOUTES LES FEMMES SONT BELLES;Exposition;Office de Tourisme Maine Saosnois;Salle d'exposition du Jardin Potager;1 rue d'Isly;;72110;Bonnétable;;;72180;48.1743616;0.42285676;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;;;01/07/2022||24/07/2022||||||||;;oui;;;;;48.1743616,0.42285676;Sarthe
FESTIVAL INTERNATIONAL DE LA CHANSON FRANCOPHONE;Festival;Centre Musical de Roussigny;;;;72320;SAINT-ULPHACE;;;72322;48.15882;0.81744;;;;;;www.roussigny.fr/festichanson;;;;;;;;;;;;;;;;;;;;10/06/2022||12/06/2022||||||||;;;;;;;48.15882,0.81744;Sarthe
FESTIVAL MAMERS EN SCÈNE;Festival;;Théâtre municipal;Place Carnot;;72600;MAMERS;;;72180;48.3507332;0.36989732;;02 43 97 60 63;;;;https://mamersenscene.fr/;;;;;;Annuel;;;;;;;;;;;;;;23/09/2022||25/09/2022||||||||;;non;;;;;48.3507332,0.36989732;Sarthe
FETE DES PETITES BÊTES;Fêtes populaires;;Maison de l'eau;43, rue de l'Esterel;;72100;LE MANS;;;72181;47.9942473;0.2346815;;02 43 50 38 45;;;archedelanature@lemans.fr;http://www.arche-nature.fr;Facebook||https://www.facebook.com/archedelanature;;;;;Ponctuel;Maison de l'Eau, de 14h à 18h;;;oui;non;non;non;oui;non;;non;;;05/06/2022||05/06/2022||14:00||18:00||||;;oui;;;;;47.9942473,0.2346815;Sarthe
FETE MEDIEVALE;Spectacle;;Motte féodale;Rue de la Libération;;72610;BOURG-LE-ROI;;;72043;48.342845;0.1360329;;02 33 26 98 53;;;lafosse-gerard@wanadoo.fr;http://bourgleroi-animation-patrimoine.fr;;;;;;Annuel;;;;;;;;;;;;;;26/06/2022||26/06/2022||10:30||19:00||||;;non;;;;;48.342845,0.1360329;Sarthe
FÊTE DE LA MUSIQUE;Manifestation Nationale;Salle polyvalente;;;;72390;DOLLON;;;72118;48.0341047;0.59607391;;02 43 93 42 23;;;;;;;;;;;;;;;;;;;;;;;;24/06/2022||24/06/2022||19:00||||||;;oui;;;;;48.0341047,0.59607391;Sarthe
FÊTE DES JARDINIERS;Festival;Château du Lude;;;;72800;LE LUDE;;;72176;47.6475659;0.15907632;Autoroute||A28||20,Autoroute||A11||43,Gare SNCF||Le Mans||47,Gare SNCF||Angers||66;02 43 94 60 09;;;chateaudulude@gmail.com;https://www.lelude.com/fete-des-jardiniers/;Facebook||https://www.facebook.com/chateaudulude/;;;;;Annuel;L'entrée à la Fête des Jardiniers donne accès au Château, à ses jardins et à toutes les animations qui s'y trouvent (sauf mention contraire).;;2h;oui;non;non;non;oui;non;2h;non;Français,Allemand,Anglais,Espagnol,Italien,Néerlandais;;04/06/2022||05/06/2022||10:00||19:00||||;Tarif indiv. adulte||||||Tarif unique. Gratuit -18 ans.;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.6475659,0.15907632;Sarthe
FÊTE DES TIPIS;Fêtes populaires;;;Chemin du Parcaigneau;Le Plan d'eau;72350;BRULON;;;72050;47.9627957;-0.2280938;;02 43 95 57 54;;;lestipisdubdv@gmail.com;lebonheurdevivre.net;;;;;;;;;;;;;;;;;;;;11/09/2022||11/09/2022||10:30||19:00||Gratuit||;;oui;;;;;47.9627957,-0.2280938;Sarthe
FÊTE DES ÉCOLES;Fêtes populaires;Ecole élémentaire;;;;72450;MONTFORT-LE-GESNOIS;;;72241;48.0482299;0.419952;;;07.67.27.25.34;;;;;;;;;;;;;;;;;;;;;;;18/06/2022||18/06/2022||||||||;;;;;;;48.0482299,0.419952;Sarthe
GRAND PRIX CYCLISTE DE NEUFCHATEL-EN-SAOSNOIS (ÉLITE NATIONALE);Manifestation sportive;;;Rue Guillaume III de Talvas;;72600;NEUFCHATEL-EN-SAOSNOIS;;;72215;48.3826317;0.24143365;;;;;;https://uc-mamers-saosnois.fr/;;;;;;;;;;;;;;;;;;;;14/05/2022||14/05/2022||14:00||19:00||||;;;UC Mamers Neufchâtel||||contact@uc-mamers-saosnois.fr;;;;48.3826317,0.24143365;Sarthe
INSECTES MAL-AIMÉS POURTANT SI UTILES !;Sortie nature / environnement;Mairie;3 rue du Puits du Chêne;;;72600;AILLIERES-BEAUVOIR;;;72002;48.40565;0.32416;;233811333;;;;;;;;;;;;;;;;;;;;;;;;09/07/2022||09/07/2022||14:00||16:00||||;;;Maison du Parc||02 33 81 13 33||;;;;48.40565,0.32416;Sarthe
INSPIRATIONS PRINTANNIÈRES;Exposition;;Restaurant Ikoï;12 Rue du Tertre;;72000;LE MANS;;;72181;48.00234;0.19644;;;;;;https://www.pybonnot.com;Instagram||https://www.instagram.com/pybonnot61/;;;;;;;;;;;;;;;;;;;01/03/2022||30/04/2022||||||||;;;;;;;48.00234,0.19644;Sarthe
IRISH CELTIC - LE CHEMIN DES LEGENDES;Spectacle;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;07/12/2022||07/12/2022||20:00||||||;"Tarif indiv. adulte||45,00||53,00||Tarifs: ;Carré Or : 53 €;Catégorie 1 : 48 €;Catégorie 2 : 45 €;Placement numéroté;";non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
J'AI PEUR QUAND LA NUIT SOMBRE;Théâtre;Les Quinconces et L'Espal;En extérieur;Arche de la nature;;72000;LE MANS;;;72181;47.9941677;0.2363504;;02 43 50 21 50;;;;https://www.quinconces-espal.com/la-saison/jai-peur-quand-la-nuit-sombre_1;;;;;;;;;;;;;;;;;;;;05/07/2022||06/07/2022||20:30||21:30||||,05/07/2022||06/07/2022||21:30||22:30||||;;non;;;;;47.9941677,0.2363504;Sarthe
JEAN-LOUIS MURAT - LA VRAIE VIE DE BUCK JOHN;Concert;;Salle Jean Carmet;5 Boulevard d'Anjou;;72700;ALLONNES;;;72003;47.96702;0.16081;;;;;;https://superforma.fr/agenda/jean-louis-murat-la-vraie-vie-de-buck-john;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;03/05/2022||03/05/2022||20:30||23:30||||;Tarif indiv. adulte||15,00||21,00||;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.96702,0.16081;Sarthe
JEUX DE SOCIÉTÉ;Stages-Atelier-Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE-BERNARD;;;72132;48.1842239;0.64652561;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;19/05/2022||19/05/2022||20:00||23:00||||;;;;;;;48.1842239,0.64652561;Sarthe
JOURNÉE DE LA SOLIDARITÉ;;;;Places de la République et des Jacobins;;72000;LE MANS;;;72181;48.0072907;0.1995219;;;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;07/05/2022||07/05/2022||10:00||18:00||||;;oui;;;;;48.0072907,0.1995219;Sarthe
JOURNÉE SPORTIVE EN PLEIN AIR ET FORUM DES ASSOCIATIONS;Manifestation sportive;Grands Champs;;;;72320;GREEZ-SUR-ROC;;;72144;48.13784;0.79544;;07 67 59 16 52;;;;;;;;;;;;;;;;;;;;;;;;27/08/2022||27/08/2022||10:00||17:00||||;;;;;;;48.13784,0.79544;Sarthe
JOURNÉES EUROPÉENNES DE L’ARCHÉOLOGIE;Manifestation Nationale;;Musée J-C Boulard - Carré Plantagenêt;2 Rue Claude Blondeau;;72000;LE MANS;;;72181;48.00717;0.19862;;02 43 47 46 45;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;19/06/2022||19/06/2022||14:00||18:00||||;;oui;;;;;48.00717,0.19862;Sarthe
KARIMOUCHE FOLIES BERBÈRES;Concert;;Salle Jean Carmet;5 Boulevard d'Anjou;;72700;ALLONNES;;;72003;47.96702;0.16081;;;;;;https://superforma.fr/agenda/karimouche-folies-berberes;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;14/05/2022||14/05/2022||20:30||23:30||||;Tarif indiv. adulte||6,00||12,00||;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.96702,0.16081;Sarthe
LA COULEUR DANS L'ÂME, D'ISABELLE FOUCAULT;Exposition;;Pavillon du parc Monod;Boulevard Paul Chantrel;;72000;LE MANS;;;72181;48.0109852;0.18157728;;;;;;https://www.facebook.com/events/283279737325337/?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22user_timeline%22%7D%2C%7B;Facebook||https://www.facebook.com/Culturelemansinfos;;;;;;;;;;;;;;;;;;;12/04/2022||30/04/2022||14:00||||Du mardi au dimanche. de 14h à 17h30. ||Le lundi;;oui;;;;;48.0109852,0.18157728;Sarthe
LE 14 JUILLET, C'EST À LAVARÉ;Manifestation Nationale;Base de loisirs;;;;72390;LAVARE;;;72158;48.0532209;0.65091481;;;06 32 60 56 90;;;;;;;;;Annuel;;;;;;;;;;;;;;14/07/2022||14/07/2022||18:00||||||;;non;;;;Chèques bancaires et postaux;48.0532209,0.65091481;Sarthe
LE CHÊNE;Cinéma;;Les Cinéastes;42 Place des Comtes du Maine;;72000;LE MANS;;;72181;48.00469;0.20106;;02 43 51 28 18;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;01/06/2022||01/06/2022||14:00||||||;Tarif indiv. adulte||6,00||6,00||;non;;;;;48.00469,0.20106;Sarthe
LE MATIN DES TOUT-PETITS;Contes et lectures;;Bibliothèque des Vergers;49 Rue Thore;;72000;LE MANS;;;72181;47.99893;0.20617;;;;;;;;;;;;;;;;;;;;;;;;;;15/06/2022||15/06/2022||10:30||||||;;oui;;;;;47.99893,0.20617;Sarthe
LE PLUS GRAND CABARET DU MONDE;Spectacle;;Antarès;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 - Terminus Antarès/MMArena||0,1;02 43 84 67 00;;;billetterielemans@citylive.fr;https://www.antareslemans.com;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;28/12/2022||28/12/2022||20:00||||||,28/12/2022||29/12/2022||20:00||||||,29/12/2022||29/12/2022||20:00||||||;"Tarif indiv. adulte||43,00||86,00||Placement assis numéroté;Catégorie 1 : 86 € - Enfant – 12 ans 66 €;Catégorie 2 : 69 € - Enfant – 12 ans 49 €;Catégorie 3 : 43 €;,Tarif indiv. enfant||49,00||66,00||Placement assis numéroté;Catégorie 1 : 86 € - Enfant – 12 ans 66 €;Catégorie 2 : 69 € - Enfant – 12 ans 49 €;Catégorie 3 : 43 €;";non;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.956751,0.226448;Sarthe
