nom_offre_touristique;type_offre;adresse1;adresse1suite;adresse2;adresse3;code_postal;bureau_distributeur;commune;cedex;code_insee;latitude;longitude;situation_offre;n_mobile;n_fixe;n_fax;email;url_web;url_video;code_embed;type_url;widget_tripadvisor;secteur_activite;labels;label_tourisme_handicap;animal_accepte;information_animal;groupe_accepte;nombre_personnes_max;nombre_personnes_min;langues_acceuil;appellation_vins;degustations_gratuites;salle_equipee;vente_propriete;duree_visite_individuels;duree_visite_groupes;visites_guidees_groupes_permanence;visites_guidees_groupes_sur_demande;visites_libres_groupes_permanence;visites_pedagogiques_groupes_permanence;visites_guidees_individuels_permanence;visites_guidees_individuels_sur_demande;langue_parlee_visites;visites_libres_individuels_permanence;offres_proposees;ouvert_toute_annee;horaires_ouvertures;moyen_reservation_directe;moyen_reservation_en_ligne;centrale_reservation_en_ligne;tarif_gratuit;tarif;modes_paiement;localisation;departement
L'ABEILLE D'AULAINES;Produits apicoles;;;Le Gué d'Aulaines;;72110;;BONNETABLE;;72039;48.1831641;0.4467344;;;;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1831641,0.4467344;Sarthe
GAEC DEBOSQUE VENTE DE VIANDE AOP MAINE-ANJOU;Viande;;;Les Bâtes;;72240;;RUILLE-EN-CHAMPAGNE;;72261;48.060586;-0.081397;;689474062;02 43 88 22 18;;gaecdebosque@orange.fr;;;;Facebook||https://www.facebook.com/gaecdebosque/;;Agro-alimentaire;;;;;;;;Français;;;;oui;;;;;;;;;Français;;;oui;;||02 43 88 22 18||gaecdebosque@orange.fr;;;;;Chèques bancaires et postaux;48.060586,-0.081397;Sarthe
LES ESCARGOTS DES VAUCHOUANS;Escargot;;;Les Vauchouans;;72240;;BERNAY-NEUVY-EN-CHAMPAGNE;;72219;48.0753581;-0.0490055;;;02 43 29 51 92;;lesescargotsdesvauchouans@orange.fr;https://sites.google.com/site/lesescargotsdesvauchouans/;;;Facebook||https://www.facebook.com/Les-Escargots-des-Vauchouans-1776192562602726/;;Agro-alimentaire;;;;;;;;Français;;non;oui;oui;;;oui;oui;non;;oui;oui;Français;non;;non;;||02 43 29 51 92||;;;non;;;48.0753581,-0.0490055;Sarthe
INITIATION A LA DEGUSTATION AU DOMAINE DE CEZIN;Vins;;;Rue de Cézin;;72340;;MARCON;;72183;47.7134974;0.52024911;;;02 43 44 13 70;;earl.francois.fresneau@orange.fr;http://www.fresneau.fr/;;;"Facebook||https://fr-fr.facebook.com/domainedecezin.fresneau/;Twitter||https://twitter.com/domainedecezin;Instagram||https://www.instagram.com/domainedecezin/?igshid=1k1wcdbtae7ox";;Viticulture;"Bienvenue à la Ferme;Ecolabel européen;Haute valeur environnementale (HVE);Vigneron Indépendant";;;;;;;;"Coteaux du Loir;Jasnières";;oui;oui;;;;;;;;;Français;;;non;;Amandine FRESNEAU||02 43 44 13 70||earl.francois.fresneau@orange.fr;;;oui;;;47.7134974,0.52024911;Sarthe
FERME LES HERVERIES;"Fromage et produit laitier;Fruits / légumes";;;;les Herveries;72230;;ARNAGE;;72008;47.926154;0.1874;;;243218406;;fermedesherveries@gmail.com;;;;;[B@11218860;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.926154,0.1874;Sarthe
HALLES DE LA GAUDINE;"Bières;Confiture;Escargot;Fromage et produit laitier;Fruits / légumes;Huile;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Viande;Volailles / Oeufs";;Zone Commerciale du Bois du Breuil;;;72190;;SAINT-PAVACE;;72310;48.0333332;0.20518214;;615081822;;;;;;;Facebook||https://www.facebook.com/La-Gaudine-1146406565487069;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.0333332,0.20518214;Sarthe
PERRON JACQUELINE - PEINTURE;Peinture;11 route de l'Ormeau;;;;72310;;BESSE-SUR-BRAYE;;72035;47.833387;0.753144;;;02 43 35 55 31;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.833387,0.753144;Sarthe
CHANTAL CHORIN - PEINTURE;Peinture;29 rue Jean Mermoz;;;;72160;;CONNERRE;;72090;48.060283;0.493572;;;02 43 89 12 01;;chantal.chorin@sfr.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.060283,0.493572;Sarthe
LES JARDINS DE GRUSSON;Fruits / légumes;Grusson;;;;72440;;SAINT-MARS-DE-LOCQUENAY;;72298;47.92744;0.4841;;681744921;;;;https://www.facebook.com/lesjardinsdegrusson/?show_switched_toast=0&show_invite_to_follow=0&show_switched_tooltip=0&show_podcast_settings=0&show_community_transition=0&show_community_review_changes=0;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.92744,0.4841;Sarthe
AGNEAUX DES PRÈS;"Viande;Volailles / Oeufs";Haute Fosse;;;;72310;;VANCE;;72368;47.83257;0.64687;;770789359;09 50 56 60 81;;kharmoudy@free.fr;https://www.facebook.com/S%C3%A9quoia-218516215551704/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.83257,0.64687;Sarthe
CLAUDINE DAVAINNE - PEINTURE;Peinture;Le Moulin Lisay;;;;72120;;SAINT-CALAIS;;72269;47.932425;0.741794;;;02 43 35 66 56;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.932425,0.741794;Sarthe
FERME DE LA PÂTURE;"Viande;Volailles / Oeufs";Les Bouveries;;;;72110;;BEAUFAY;;72026;48.14717;0.36301;;677701319;;;fermedelapature@gmail.com;https://www.facebook.com/fermedelapature/;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.14717,0.36301;Sarthe
MIELLERIE DES SABLONS;Produits apicoles;Les Sablons;;;;72390;;BOUER;;72041;48.08213;0.628529;;671412408;02 43 71 13 73;;valery.mesange@wanadoo.fr;https://la-miellerie-des-sablons.business.site/?utm_source=gmb&utm_medium=referral#details;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||||||||||||||||||||||||||10:00||16:00||||||||||||;;;;;;;48.08213,0.628529;Sarthe
GAEC VAUNELLERIES;Viande;Les Vaunelleries;;;;72110;;JAUZE;;72148;48.21179;0.37694;;615072592;;;zabugo72@gmail.com;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.21179,0.37694;Sarthe
BOUTIQUE L'ART DES METIERS;"Art de la table;Bijou;Céramique, faïence, émail;Cosmétique;Décoration d'intérieur;Jouet et jeu;Maroquinerie;Métal;Poterie;Sculpture;Travail du bois;Verre";;;23 Grande Rue;;72200;;LA FLECHE;;72154;47.69956;-0.07386;;;;;lart.des.metiers@gmail.com;;;;Instagram||;;Artisanat / Art;Métiers d'art;;;;;0;;"Anglais;Français";;non;;;;;;;;;;non;;oui;;oui;01/01/2022||31/12/2022||La boutique vous accueille du mardi au vendredi de 10h à 12h30 - 14h à 19h - Le samedi de 10h à 19h ||Fermé dimanche et lundi ||||||||||10:00||12:30||14:00||19:00||10:00||12:30||14:00||19:00||10:00||12:30||14:00||19:00||10:00||12:30||14:00||19:00||10:00||||||19:00||||||||;;;;oui;;"Cartes bancaires;Espèces";47.69956,-0.07386;Sarthe
ATELIER VERR I KITI;"Bijou;Verre";;;Rue des tisserands et du 14 Nivôse;;72430;;ASNIERES-SUR-VEGRE;;72010;47.888566;-0.2348114;;616177536;02 43 95 68 19;;kiti.labe@gmail.com;http://www.verrikiti.fr/;;;"Facebook||https://www.facebook.com/christine.cabouat;Instagram||https://www.instagram.com/verrikiti/";;Artisanat / Art;Métiers d'art;;;;;12;;"Anglais;Français";;;;oui;;;oui;oui;oui;;;;"Français;Anglais";oui;;non;"02/04/2022||01/07/2022||Ouvert les jours fériés||||||||||||||||||||||||||||||||||||||||||||||||15:00||18:30||||||15:00||18:30;02/07/2022||31/08/2022||Ouvert les jours fériés||||||||||||||||||||||||15:00||18:30||||||15:00||18:30||||||15:00||18:30||||||15:00||18:30||||||15:00||18:30;01/09/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||15:00||18:30||||||15:00||18:30";;;;oui;;Chèques bancaires et postaux;47.888566,-0.2348114;Sarthe
ELEVAGE DE LA VIGNE;;;;;Lieu dit La Vigne;72600;;SAINT-VINCENT-DES-PRES;;72324;48.2947599;0.383664;;243978615;;;;;;;;;Agriculture / horticulture / Pêche;;;;;oui;;;;;;non;non;;;oui;oui;non;;oui;non;;non;;oui;||||Sur rendez-vous uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Monsieur et Madame Collet||02 43 97 86 15||;;;non;;;48.2947599,0.383664;Sarthe
KUSTOM DESIGN;;;;5 Rue François Coudreux;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7287915;0.574395;;673900332;;;kustomdesign72@gmail.com;;;;;;Artisanat / Art;;;;;oui;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.7287915,0.574395;Sarthe
ERIC HÉLIÈRE - MIEL;Produits apicoles;;;La Gorgetterie;;72120;;ECORPAIN;;72125;47.947192;0.65064899;;683260852;02 43 35 19 77;;;;;;;;Agriculture / horticulture / Pêche;;;non;;oui;;;;;oui;oui;;;;oui;oui;;;oui;oui;Français;non;;oui;;;;;oui;;;47.947192,0.65064899;Sarthe
LA [B]OUTIQUE DU MUSÉE;"Art de la table;Bijou;Biscuit;Céramique, faïence, émail;Confiture;Cosmétique;Jouet et jeu;Poterie;Produits apicoles";;;Rue Victor Hugo;Musée de la faïence et de la céramique;72270;;MALICORNE-SUR-SARTHE;;72179;47.8134167;-0.0831579;;;02 43 48 07 17;;accueil.museefaience@cc-valdesarthe.fr;https://musee-faience.fr/;;;"Facebook||https://www.facebook.com/boutiquemuseefaience/;Twitter||https://twitter.com/EspaceFaience;Tripadvisor||http://www.tripadvisor.fr/Attraction_Review-g1572323-d3319413-Reviews-Malicorne_Espace_Faience_le_Musee-Malicorne_sur_Sarthe_Sarthe_Pays_de_la_Loire.html;Instagram||https://www.instagram.com/boutique_museefaience/";;Artisanat / Art;Métiers d'art;;non;;oui;;;;;;;;;;;;;;;;;;;;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.8134167,-0.0831579;Sarthe
BOIS TOURNES;"Art de la table;Décoration d'intérieur;Sculpture;Travail du bois";;;La petite Houssaie;;72350;;AVESSE;;72019;47.9545352;-0.2764909;;;02 43 92 45 46;;dobartbois@orange.fr;;;;Facebook||https://www.facebook.com/Bois-tourn%C3%A9-plessis-187813257937106/?fref=ts;;Artisanat / Art;Métiers d'art;;oui;;oui;10;;Français;;oui;;;;;;oui;;;;oui;Français;;;oui;01/01/2022||31/12/2022|| Ouvert sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Chèques bancaires et postaux;Espèces";47.9545352,-0.2764909;Sarthe
365 JOURS À LOUÉ - FERMIERS DE LOUE;"Elevage;Volailles / Oeufs";;;;Lieu Dit la Cour du Bois;72550;;COULANS-SUR-GEE;;72096;48.019788;0.0249519;;;;;info@loue.fr;http://www.loue.fr/;"https://youtu.be/v-oDOK_M1MU;https://youtu.be/1OjJVTQkAvM;https://youtu.be/yv9ryi58ku4";;"Facebook||https://www.facebook.com/loue;Twitter||https://twitter.com/FermiersdeLoue;Instagram||https://www.instagram.com/fermiers_de_loue/";;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;non;;oui;10;1;Français;;;;;2h30;2h30;oui;oui;oui;oui;oui;oui;Français;oui;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;48.019788,0.0249519;Sarthe
LA RÉSIDENCE D'ARTISTES CÉRAMISTES;"Céramique, faïence, émail;Poterie";La Pucelle;;;;72110;;PREVELLES;;72246;48.152352;0.481916;;243718828;;;;;;;;;Artisanat / Art;;;non;;oui;20;;Français;;;;;;;;;;;;;;;Partenariat||DEGPDL072V50F9TE;oui;;||02 43 93 01 95||;;;;;Chèques bancaires et postaux;48.152352,0.481916;Sarthe
BOUTIQUE CAFE NATURE DOMAINE DU GASSEAU;"Bières;Biscuit;Confiserie / chocolat;Confiture;Cosmétique;Epices / Condiment;Fruits / légumes;Glace;Huile;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Vannerie;Vins";;;;le Gasseau;72130;;SAINT-LEONARD-DES-BOIS;;72294;48.3602696;-0.078009;;;02 43 34 34 44;;legasseau@cchautesarthealpesmancelles.fr;;;;Facebook||https://www.facebook.com/legasseau?fref=ts;;;;;non;;oui;20;1;"Anglais;Français";"Coteaux du Loir;Jasnières";non;non;oui;;;non;non;oui;non;non;non;Français;oui;"Partenariat||HOT882000761;Partenariat||RES877001321;Partenariat||HPAPDL072V507YBK";non;02/04/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;CHEVALLIER||02 43 34 34 44||legasseau@cchautesarthealpesmancelles.fr;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";48.3602696,-0.078009;Sarthe
VERGERS DU PETIT PAVILLON;"Fruits / légumes;Produits du terroir (boutique)";;;;Le Petit Pavillon;72500;;LAVERNAT;;72160;47.684628;0.355716;;;02 43 46 43 78;02 43 46 43 78;contact@vergerdupetitpavillon.com;https://www.vergerdupetitpavillon.com/;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;non;;oui;30;5;Français;;oui;oui;oui;1 h;1 h;oui;oui;non;;non;oui;Français;non;;non;;;;;oui;;Chèques bancaires et postaux;47.684628,0.355716;Sarthe
SCULPTURES DE FER D'ALAIN BOUVET;Métal;;;;Belle Place;72600;;NEUFCHATEL-EN-SAOSNOIS;;72215;48.362258;0.240417;;616873497;02 43 33 31 83;;sculpturesdeferalainbouvet@wanadoo.fr;alainbouvet.free.fr;;;;;Artisanat / Art;;;oui;Tenus en laisse (pas les chiens, les maîtres...).;oui;40;;Français;;non;non;oui;01:00;02:00;oui;oui;non;oui;oui;oui;Français;oui;;oui;||||Sur rendez-vous toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Alain BOUVET||02 43 33 31 83||sculpturesdeferalainbouvet@wanadoo.fr;;;oui;;Chèques bancaires et postaux;48.362258,0.240417;Sarthe
CAVIER DU VAUX GERMAIN;Vins;;;;Le Vaugermain;72340;;CHAHAIGNES;;72052;47.743453;0.502926;;;02 43 44 89 37;;jean-marie.renvoise@wanadoo.fr;;;;;;Viticulture;;;;;oui;50;;"Anglais;Français";"Coteaux du Loir;Jasnières";oui;oui;oui;;;oui;non;non;;oui;oui;"Français;Anglais";non;;;;;;;oui;;Chèques bancaires et postaux;47.743453,0.502926;Sarthe
CIDRERIE & RUCHERS SARTHOIS;"Produits apicoles;Produits cidricoles / Jus de fruit";Les Rieux;;;;72400;;CHERRE-AU;;72080;48.1628365;0.6665824;Autoroute||A11||1,7;633865371;;;cidrerie.ruchers72@gmail.com;https://www.facebook.com/Cidrerie-Ruchers-Sarthois-106576865105939/?ref=page_internal;"https://www.facebook.com/100072885635353/videos/596436021680171;https://www.facebook.com/100072885635353/videos/317503770190825;https://www.facebook.com/100072885635353/videos/962198168031792";;;;"Agro-alimentaire;Viticulture";;;oui;Les animaux sont acceptés uniquement en laisse dans l'enceinte de notre ferme, mais seront interdits dans notre cave et chai.;oui;;10;Français;;oui;oui;oui;;1h à 1h30;non;oui;non;oui;oui;oui;Français;non;;oui;01/01/2022||31/12/2022||||||||||||||||||||||09:30||19:00||||||||||||||14:00||19:00||||||09:30||19:00||||||||||||;;;;oui;"Tarif groupe adulte||50,00||250,00||Taille du groupe: minimum 10 personnes, maximum 50 personnes, pour une visite guidée prévue.;Tarif indiv. adulte||5,00||5,00||Le tarif proposé de 5€ par personne pour un adulte s'applique uniquement s'il fait parti d'un groupe d'au moins 10 personnes, pour une visite guidée prévue.";"Chèques bancaires et postaux;Espèces";48.1628365,0.6665824;Sarthe
FAMILLE MEULEMANS;"Foie gras;Produits du terroir (boutique);Rillettes";La Grande Malpougère;;;;72320;;SAINT-JEAN-DES-ECHELLES;;72292;48.124609;0.748424;"Autoroute||A11||5;Gare SNCF||La Ferté Bernard||10;Route (nationale/départ.)||D323||10";687156600;02 43 93 20 98;;lm@meulemans.fr;http://www.meulemans.fr;https://cdt72.media.tourinsoft.com/upload/Portes-ouvertes.mp4;;Facebook||https://www.facebook.com/pages/Meulemans-Foie-Gras/144822632307968?ref=hl;;Agro-alimentaire;;;oui;ATTACHE A L EXTERIEUR;oui;100;4;"Anglais;Français";;oui;oui;oui;;01:00;oui;oui;oui;oui;non;oui;"Français;Anglais";oui;;oui;||||||||09:00||12:00||14:00||17:00||09:00||12:00||14:00||17:00||09:00||12:00||14:00||17:00||09:00||12:00||14:00||17:00||09:00||12:00||14:00||17:00||09:00||12:00||14:00||17:00||||||||;||02 43 93 20 98||lm@meulemans.fr;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.124609,0.748424;Sarthe
PRODUITS DU VERGER;Fruits / légumes;GAEC des 2 Saints;;La Motte;Gué de Mézière;72500;;NOGENT-SUR-LOIR;;72221;47.6652119;0.399191;"Autoroute||A28||6;Gare SNCF||Château du Loir||6";622623314;;;er.gaec2s@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;oui;non;oui;;;non;non;non;;non;oui;Français;non;;;;;;;oui;;;47.6652119,0.399191;Sarthe
ANTIQUITES ARMEL LABBE;"Art de la table;Céramique, faïence, émail;Décoration d'intérieur;Peinture;Sculpture;Travail du bois";;;11-13 Place Saint Nicolas;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7301657;0.57057359;Autoroute||||20;678876161;02 43 44 64 89;;antiquites.labbe@wanadoo.fr;https://www.antiquites-en-france.com/user/labbe;http://www.dailymotion.com/video/xd42gn_l-ebenisterie-d-art-a-la-chartre-su_creation;;Facebook||http://www.facebook.com/antiquites.armellabbe;;"Artisanat / Art;Loisirs et activités";;;non;;oui;;;"Anglais;Français";;;;oui;;;;;;;;;"Français;Anglais";;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.7301657,0.57057359;Sarthe
VISITES ET ATELIER DU DOMAINE DE LA ROCHE BLEUE;Vins;;;;La Roche;72340;;MARCON;;72183;47.7094024;0.5160054;"Gare SNCF||Chateau du loir||8;Autoroute||A28 sortie 26||12";;02 43 46 26 02;;domainedelarochebleue@ymail.com;;;;"Facebook||https://www.facebook.com/DomaineDeLaRocheBleue/?ref=page_internal;Instagram||https://www.instagram.com/domainedelarochebleue/";;Viticulture;"Agriculture Biologique (AB);Caves touristiques vignoble de Loire;Vignobles et découvertes";;oui;;oui;50;;"Anglais;Français;Néerlandais";"Coteaux du Loir;Jasnières";non;oui;oui;1h;1h30;oui;oui;non;oui;oui;oui;"Français;Anglais;Néerlandais";non;;non;01/01/2022||31/12/2022||Visites et atelier sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.7094024,0.5160054;Sarthe
CREATION DE VITRAUX;Vitrail;;;37 rue Anatole Carré;;72500;;VAAS;;72364;47.69586;0.40253;"Route (nationale/départ.)||D305||0;Autoroute||A28 sortie 26||5;Gare SNCF||Vaas||0,6";;;;;;;;;;Artisanat / Art;;;non;;oui;20;5;Français;;;non;non;1h;1h30;oui;oui;non;oui;oui;oui;Français;non;;;||||Ouvert le samedi tous les 15 jours  de 14h à 18h||Fermé en août||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.69586,0.40253;Sarthe
PEINTURE DE SOPHIE LE DIOT;Peinture;;;;;72110;;NOGENT-LE-BERNARD;;72220;48.2363357;0.48968583;;633380297;;;sophie.terroux@orange.fr;;;;Facebook||https://www.facebook.com/sophie-le-diot-108579165904114/?ref=page_internal;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2363357,0.48968583;Sarthe
CHRISTINE DE MIANVILLE;Vins;;;;La Loge de Courtoux;72340;;LHOMME;;72161;47.754629;0.581975;;671805763;02 41 52 91 62;;contact@demianville-jasnieres.fr;http://www.demianville-jasnieres.fr;;;;;Viticulture;;;;;;;;;Jasnières;;;oui;;;;;;;;;Anglais;;;;||||Ouvert toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.754629,0.581975;Sarthe
LE P'TIT CHÈVRE SARTHOIS;Fromage et produit laitier;;;;LA POINTE;72460;;SAINT-CORNEILLE;;72275;48.0776416;0.35132629;;;02 43 27 50 87;;;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;;;;;;;;;;;;;oui;11/06/2021||01/10/2022||||||08:00||12:00||||||08:00||12:00||||||08:00||12:00||||||08:00||12:00||||||08:00||12:00||||||08:00||12:00||||||||||||;;;;;;;48.0776416,0.35132629;Sarthe
ATELIER LE CRIN  - ATELIERS DE TISSAGE DE BUSSIERES ET DE CHALLES;;;;1 rue du Moulin;;72250;;CHALLES;;72053;47.9301986;0.41281789;;;02 43 75 81 23;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;||||uniquement pendant les Journées du Patrimoine||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.9301986,0.41281789;Sarthe
