nom_fete_ou_manifestation;categorie;adresse1;adresse1suite;adresse2;adresse3;code_postal;commune;bureau_distributeur;cedex;code_insee;latitude;longitude;point_acces_distance;n_fixe;n_mobile;n_fax;email;url_web;type_url;url_video;public_concerne_offre;widget_tripadvisor;code_embed;periodicite_manifestation;precision_periodicite;label_tourisme_handicap;duree_visite_individuels;visites_libres_individuels_permanence;visites_guidees_individuels_sur_demande;visites_guidees_individuels_permanence;visites_guidees_groupes_sur_demande;visites_guidees_groupes_permanence;visites_guidees_groupes_permanence_2;duree_visite_groupes;visites_pedagogiques_groupes_permanence;langues;langues_audio;horaires_ouvertures;tarifs_annee_proposes;tarif_gratuit;moyens_reservation_directe;centrale_reservation_en_ligne;moyens_reservation_en_ligne;modes_paiement;localisation;departement
AUX PLUS ADULTES QUE NOUS;Theatre;;;92 Avenue Jean Jaures;;72500;MONTVAL_SUR_LOIR;;;72071;47.68871;0.41512;;02 43 79 47 97;;;lacastelorienne@montvalsurloir.fr;http://www.ville_chateauduloir.fr/;Facebook||https://www.facebook.com/chateauduloirmaville/;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||12,00||||,Tarif indiv. reduit||8,00||||,Tarif indiv. enfant||6,00||||,Tarif abonne||8,00||||;;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.68871,0.41512;Sarthe
BALADES NAUTIQUES;Manifestation sportive;Base de Loisirs;;;;72400;LA FERTE_BERNARD;;;72132;48.1798881;0.64897179;;06 27 02 23 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1798881,0.64897179;Sarthe
BALADES NAUTIQUES;Manifestation sportive;Base de loisirs;;;;72400;LA FERTE_BERNARD;;;72132;48.180346;0.64880013;;06 27 02 23 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.180346,0.64880013;Sarthe
CINeMA DE PLEIN AIR;Cinema;arriere du chateau;;;;72440;BOULOIRE;;;72042;47.973317;0.548873;;02 43 60 72 77;;;perche_sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;47.973317,0.548873;Sarthe
CINeMA EN PLEIN AIR;Cinema;Terrain du lavoir;;;;72370;SOULITRE;;;72341;48.0122949;0.45574599;;07 88 09 26 90;;;acls.soulitre@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0122949,0.45574599;Sarthe
CLUEDO;Stages_Atelier_Jeux;Parc de la mairie;;;;72460;SAVIGNE__EVEQUE;;;72329;48.0771357;0.30195166;;02 43 27 50 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0771357,0.30195166;Sarthe
CONCERT : RECITAL BEETHOVEN;Concert;Quai des Arts;;;;72320;VIBRAYE;;;72373;48.0647605;0.72736479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.0647605,0.72736479;Sarthe
CONCERT DE NOËL;Concert;;Eglise;;;72440;BOULOIRE;;;72042;47.9727972;0.5558806;;;06 74 75 50 33;;ccmcbouloire@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.9727972,0.5558806;Sarthe
CONCERT TREMPLIN DE LA CHANSON;Concert;Centre Musical de Roussigny;;;;72320;SAINT_ULPHACE;;;72322;48.15882;0.81744;;06 59 29 34 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.15882,0.81744;Sarthe
CONCOURS DE PeCHE;Manifestation sportive;Lac du Chateau du Luart;;;;72390;LE LUART;;;72172;48.068697;0.584284;;07 88 56 35 96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.068697,0.584284;Sarthe
CROC'LECTURE;Contes et lectures;;Mediatheque Sud;Boulevard Jean_Sebastien Bach;;72100;LE MANS;;;72181;47.97055;0.20925;;02 43 47 40 23;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.97055,0.20925;Sarthe
EXPOSITION DES PEINTURES _EMILIE FOURe _ DEUX EN UN;Exposition;Office de Tourisme Maine Saosnois;;50 Place Carnot;;72600;MAMERS;;;72180;48.3509267;0.36966599;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.3509267,0.36966599;Sarthe
EXPOSITION THeO MASSOULIER;Exposition;Les Quinconces et _Espal;Les Quinconces;4 Place des Jacobins;;72000;LE MANS;;;72181;48.0080743;0.2005444;;;;;;https://www.quinconces_espal.com/la_saison/arts_visuels/theo_massoulier_1;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.0080743,0.2005444;Sarthe
EXPOSITION VALERIE DAVAL;Exposition;Centre culturel La Laverie;;;;72400;LA FERTE_BERNARD;;;72132;48.1873791;0.64855892;;02 43 93 48 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1873791,0.64855892;Sarthe
EXPOSITION VIRGINIE BOUTANTIN a BONNeTABLE _ TOUTES LES FEMMES SONT BELLES;Exposition;Office de Tourisme Maine Saosnois;Salle _exposition du Jardin Potager;1 rue _Isly;;72110;Bonnetable;;;72180;48.1743616;0.42285676;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.1743616,0.42285676;Sarthe
FESTIVAL INTERNATIONAL DE LA CHANSON FRANCOPHONE;Festival;Centre Musical de Roussigny;;;;72320;SAINT_ULPHACE;;;72322;48.15882;0.81744;;;;;;www.roussigny.fr/festichanson;;;;;;;;;;;;;;;;;;;;;;;;;;;48.15882,0.81744;Sarthe
FESTIVAL MAMERS EN SCeNE;Festival;;Theatre municipal;Place Carnot;;72600;MAMERS;;;72180;48.3507332;0.36989732;;02 43 97 60 63;;;;https://mamersenscene.fr/;;;;;;Annuel;;;;;;;;;;;;;;;;non;;;;;48.3507332,0.36989732;Sarthe
FETE DES PETITES BeTES;Fetes populaires;;Maison de _eau;43, rue de _Esterel;;72100;LE MANS;;;72181;47.9942473;0.2346815;;02 43 50 38 45;;;archedelanature@lemans.fr;http://www.arche_nature.fr;Facebook||https://www.facebook.com/archedelanature;;;;;Ponctuel;Maison de _Eau, de 14h a 18h;;;oui;non;non;non;oui;non;;non;;;;;oui;;;;;47.9942473,0.2346815;Sarthe
FETE MEDIEVALE;Spectacle;;Motte feodale;Rue de la Liberation;;72610;BOURG_LE_ROI;;;72043;48.342845;0.1360329;;02 33 26 98 53;;;lafosse_gerard@wanadoo.fr;http://bourgleroi_animation_patrimoine.fr;;;;;;Annuel;;;;;;;;;;;;;;;;non;;;;;48.342845,0.1360329;Sarthe
FeTE DE LA MUSIQUE;Manifestation Nationale;Salle polyvalente;;;;72390;DOLLON;;;72118;48.0341047;0.59607391;;02 43 93 42 23;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.0341047,0.59607391;Sarthe
FeTE DES JARDINIERS;Festival;Chateau du Lude;;;;72800;LE LUDE;;;72176;47.6475659;0.15907632;Autoroute||A28||20,Autoroute||A11||43,Gare SNCF||Le Mans||47,Gare SNCF||Angers||66;02 43 94 60 09;;;chateaudulude@gmail.com;https://www.lelude.com/fete_des_jardiniers/;Facebook||https://www.facebook.com/chateaudulude/;;;;;Annuel;_entree a la Fete des Jardiniers donne acces au Chateau, a ses jardins et a toutes les animations qui s'y trouvent (sauf mention contraire).;;2h;oui;non;non;non;oui;non;2h;non;Français,Allemand,Anglais,Espagnol,Italien,Neerlandais;;;Tarif indiv. adulte||||||Tarif unique. Gratuit _18 ans.;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.6475659,0.15907632;Sarthe
FeTE DES TIPIS;Fetes populaires;;;Chemin du Parcaigneau;Le Plan _eau;72350;BRULON;;;72050;47.9627957;_0.2280938;;02 43 95 57 54;;;lestipisdubdv@gmail.com;lebonheurdevivre.net;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.9627957,_0.2280938;Sarthe
FeTE DES eCOLES;Fetes populaires;Ecole elementaire;;;;72450;MONTFORT_LE_GESNOIS;;;72241;48.0482299;0.419952;;;07.67.27.25.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0482299,0.419952;Sarthe
GRAND PRIX CYCLISTE DE NEUFCHATEL_EN_SAOSNOIS (eLITE NATIONALE);Manifestation sportive;;;Rue Guillaume III de Talvas;;72600;NEUFCHATEL_EN_SAOSNOIS;;;72215;48.3826317;0.24143365;;;;;;https://uc_mamers_saosnois.fr/;;;;;;;;;;;;;;;;;;;;;;;UC Mamers Neufchatel||||contact@uc_mamers_saosnois.fr;;;;48.3826317,0.24143365;Sarthe
INSECTES MAL_AIMeS POURTANT SI UTILES !;Sortie nature / environnement;Mairie;3 rue du Puits du Chene;;;72600;AILLIERES_BEAUVOIR;;;72002;48.40565;0.32416;;233811333;;;;;;;;;;;;;;;;;;;;;;;;;;;Maison du Parc||02 33 81 13 33||;;;;48.40565,0.32416;Sarthe
INSPIRATIONS PRINTANNIeRES;Exposition;;Restaurant Ikoï;12 Rue du Tertre;;72000;LE MANS;;;72181;48.00234;0.19644;;;;;;https://www.pybonnot.com;Instagram||https://www.instagram.com/pybonnot61/;;;;;;;;;;;;;;;;;;;;;;;;;;48.00234,0.19644;Sarthe
IRISH CELTIC _ LE CHEMIN DES LEGENDES;Spectacle;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||45,00||53,00||Tarifs: ;Carre Or : 53 €;Categorie 1 : 48 €;Categorie 2 : 45 €;Placement numerote;";non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
J'AI PEUR QUAND LA NUIT SOMBRE;Theatre;Les Quinconces et _Espal;En exterieur;Arche de la nature;;72000;LE MANS;;;72181;47.9941677;0.2363504;;02 43 50 21 50;;;;https://www.quinconces_espal.com/la_saison/jai_peur_quand_la_nuit_sombre_1;;;;;;;;;;;;;;;;;;;;;;non;;;;;47.9941677,0.2363504;Sarthe
JEAN_LOUIS MURAT _ LA VRAIE VIE DE BUCK JOHN;Concert;;Salle Jean Carmet;5 Boulevard _Anjou;;72700;ALLONNES;;;72003;47.96702;0.16081;;;;;;https://superforma.fr/agenda/jean_louis_murat_la_vraie_vie_de_buck_john;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||15,00||21,00||;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.96702,0.16081;Sarthe
JEUX DE SOCIeTe;Stages_Atelier_Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE_BERNARD;;;72132;48.1842239;0.64652561;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1842239,0.64652561;Sarthe
JOURNeE DE LA SOLIDARITe;;;;Places de la Republique et des Jacobins;;72000;LE MANS;;;72181;48.0072907;0.1995219;;;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.0072907,0.1995219;Sarthe
JOURNeE SPORTIVE EN PLEIN AIR ET FORUM DES ASSOCIATIONS;Manifestation sportive;Grands Champs;;;;72320;GREEZ_SUR_ROC;;;72144;48.13784;0.79544;;07 67 59 16 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.13784,0.79544;Sarthe
JOURNeES EUROPeENNES DE L’ARCHeOLOGIE;Manifestation Nationale;;Musee J_C Boulard _ Carre Plantagenet;2 Rue Claude Blondeau;;72000;LE MANS;;;72181;48.00717;0.19862;;02 43 47 46 45;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.00717,0.19862;Sarthe
KARIMOUCHE FOLIES BERBeRES;Concert;;Salle Jean Carmet;5 Boulevard _Anjou;;72700;ALLONNES;;;72003;47.96702;0.16081;;;;;;https://superforma.fr/agenda/karimouche_folies_berberes;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||6,00||12,00||;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.96702,0.16081;Sarthe
LA COULEUR DANS _aME, _ISABELLE FOUCAULT;Exposition;;Pavillon du parc Monod;Boulevard Paul Chantrel;;72000;LE MANS;;;72181;48.0109852;0.18157728;;;;;;https://www.facebook.com/events/283279737325337/?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22unknown%22%2C%22surface%22%3A%22user_timeline%22%7D%2C%7B;Facebook||https://www.facebook.com/Culturelemansinfos;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.0109852,0.18157728;Sarthe
LE 14 JUILLET, C'EST a LAVARe;Manifestation Nationale;Base de loisirs;;;;72390;LAVARE;;;72158;48.0532209;0.65091481;;;06 32 60 56 90;;;;;;;;;Annuel;;;;;;;;;;;;;;;;non;;;;Cheques bancaires et postaux;48.0532209,0.65091481;Sarthe
LE CHeNE;Cinema;;Les Cineastes;42 Place des Comtes du Maine;;72000;LE MANS;;;72181;48.00469;0.20106;;02 43 51 28 18;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||6,00||6,00||;non;;;;;48.00469,0.20106;Sarthe
LE MATIN DES TOUT_PETITS;Contes et lectures;;Bibliotheque des Vergers;49 Rue Thore;;72000;LE MANS;;;72181;47.99893;0.20617;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.99893,0.20617;Sarthe
LE PLUS GRAND CABARET DU MONDE;Spectacle;;Antares;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 _ Terminus Antares/MMArena||0,1;02 43 84 67 00;;;billetterielemans@citylive.fr;https://www.antareslemans.com;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||43,00||86,00||Placement assis numerote;Categorie 1 : 86 € _ Enfant – 12 ans 66 €;Categorie 2 : 69 € _ Enfant – 12 ans 49 €;Categorie 3 : 43 €;,Tarif indiv. enfant||49,00||66,00||Placement assis numerote;Categorie 1 : 86 € _ Enfant – 12 ans 66 €;Categorie 2 : 69 € _ Enfant – 12 ans 49 €;Categorie 3 : 43 €;";non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.956751,0.226448;Sarthe
LE PRE EN MUSIQUE;Concert;;Eglise Notre_Dame du Pre;Place du Pre;;72000;LE MANS;;;72181;48.009915;0.1925817;;;06 25 49 44 96;;;http://le_pre_en_musique.blogspot.fr/;;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.009915,0.1925817;Sarthe
LE PÔLE EUROPeEN DU CHEVAL;Visites et sorties a themes;;Boulerie jump;Route de Feumusson;;72530;YVRE__EVEQUE;;;72386;48.0453509;0.300878;;02 43 47 40 30;;;;;;;;;;;;;;;;oui;;;;;;;;;"Tarif indiv. adulte||4,00||6,00||reduit : enfants de 6 a 12 ans, etudiants ;demandeurs _emploi, personnes handicapees, ;adherents partenaire ;exonere : enfants moins de 6 ans , journalistes et ;guides conferenciers sur justificatif.";;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.0453509,0.300878;Sarthe
LE VIOLON ePOUVANTABLE;Concert;;Salle des Concerts;58 Rue du Port;;72000;LE MANS;;;72181;48.0025692;0.19253545;;243473862;;;;;Facebook||https://www.facebook.com/events/557577445462558;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.0025692,0.19253545;Sarthe
LES 2 SEMAINES DES 2M;Sortie nature / environnement;La Chapelle St Lyphard;;;;72400;LA FERTE_BERNARD;;;72132;48.1845466;0.65309722;;06 76 82 77 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1845466,0.65309722;Sarthe
LES BEAUX DIMANCHES APReS_MIDIS : CACTUS RIDERS;Concert;;;Lieu_dit Domaine du Gasseau;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3600783;_0.0776124;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.3600783,_0.0776124;Sarthe
LES BEAUX DIMANCHES APReS_MIDIS : CUPIF BAND;Concert;;;Lieu_dit Domaine du Gasseau;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3600783;_0.0776124;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.3600783,_0.0776124;Sarthe
LES GRANDS SCULPTEURS;Visites et sorties a themes;;Maison du Pilier_Rouge;43 Grande Rue;;72000;LE MANS;;;72181;48.00836;0.19683;;02 43 47 40 30;;;;;;;;;;;;;;;;oui;;;;;;;;;"Tarif indiv. adulte||4,00||6,00||reduit : enfants de 6 a 12 ans, etudiants ;demandeurs _emploi, personnes handicapees, ;adherents partenaire ;exonere : enfants moins de 6 ans , journalistes et ;guides conferenciers sur justificatif.";;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.00836,0.19683;Sarthe
LES PAUSES DeCOUVERTES a _eGLISE NOTRE_DAME_DES_MARAIS;Visites et sorties a themes;15 Place de la Lice;;;;72400;LA FERTE_BERNARD;;;72132;48.185934;0.655979;;02 43 60 72 77;;;perche_sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;48.185934,0.655979;Sarthe
LES POTIRONS FeTENT _AUTOMNE;Foire ou salon;;Jardin Potager;1 rue _Isly;;72110;BONNETABLE;;;72039;48.1742185;0.42289967;;243520134;;;c.nos@mainesaosnois.fr;;Facebook||https://www.facebook.com/jardinpotagerbonnetable/;;;;;Annuel;;;;;;;;;;;;Français;;;;oui;;;;;48.1742185,0.42289967;Sarthe
LES RENDEZ_VOUS DU MOYEN aGE :  LA SCIENCE ET L’OPTIQUE MeDIeVALE »;Spectacle;;;6 Rue du Temple;;72430;ASNIERES_SUR_VEGRE;;;72010;47.88864;_0.23576;;02 43 95 17 12;;;contact@lemanoirdelacour.fr;http://www.lemanoirdelacour.fr/;Facebook||https://www.facebook.com/manoirdelacour/,Instagram||https://www.instagram.com/manoir_de_la_cour/;;;;;Ponctuel;;;;;;;;;;;;Français;;;Tarif indiv. adulte||6,00||||,Tarif indiv. reduit||4,00||||Situation de handicap, etudiants, demandeurs _emploi,Tarif indiv. enfant||4,00||||7_18 ans,Tarif indiv. enfant||||||Gratuit pour les moins de 7 ans;;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.88864,_0.23576;Sarthe
L’EAU DANS LA VILLE : LE CARRe ET LES THERMES ROMAINS;Visites et sorties a themes;;Maison du Pilier_Rouge;43 Grande Rue;;72000;LE MANS;;;72181;48.00836;0.19683;;02 43 47 40 30;;;;;;;;;;;;;;;;oui;;;;;;;;;"Tarif indiv. adulte||4,00||6,00||reduit : enfants de 6 a 12 ans, etudiants demandeurs _emploi, personnes handicapees, adherents partenaire ;exonere : enfants moins de 6 ans , journalistes et guides conferenciers sur justificatif.";;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.00836,0.19683;Sarthe
MAMA FORGOT HER NAME WAS MIRACLE;Concert;Les Quinconces et _Espal;Theatre des Quinconces;4 Place des Jacobins;;72000;LE MANS;;;72181;48.0080743;0.2005444;;02 43 50 21 50;;;;https://www.quinconces_espal.com/la_saison/melissa_laveaux;;;;;;;;;;;;;;;;;;;;;;non;;;;;48.0080743,0.2005444;Sarthe
MARCHe AUX FLEURS;Foire ou salon;;Jardin Potager;1 rue _Isly;;72110;BONNETABLE;;;72039;48.1742481;0.42322025;;02 43 52 01 34;;;c.nos@mainesaosnois.fr;;Facebook||https://www.facebook.com/jardinpotagerbonnetable;;;;;Annuel;;;;oui;;;;;;;;;;;;oui;;;;;48.1742481,0.42322025;Sarthe
MARCHe DE NOËL;Marche;Place Jean Dufournier;;;;72310;BESSE_SUR_BRAYE;;;72035;47.8333004;0.7532191;;02 43 63 09 77;;;besse.initiatives@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8333004,0.7532191;Sarthe
MARCHe DE NOËL;Animations de Noël;;;;;72160;THORIGNE_SUR_DUE;;;72358;48.0404122;0.53560237;;;;;apetho72160@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0404122,0.53560237;Sarthe
MARCHe DE NOËL;Animations de Noël;dans la commune;;;;72320;GREEZ_SUR_ROC;;;72144;48.13784;0.79544;;07 67 59 16 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.13784,0.79544;Sarthe
MARCHe DE PRODUCTEURS LOCAUX;Marche;;Sur le parking de la Mairie;2 Place de _eglise;;72130;SAINT_AUBIN_DE_LOCQUENAY;;;72266;48.27102;0.02502;;;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.27102,0.02502;Sarthe
